dates,Total_Meat_Consumption
1961-01-01,4719563520.000001
1962-01-01,4855193020.000001
1963-01-01,4842724500.0
1964-01-01,4994682000.000001
1965-01-01,5141314360.0
1966-01-01,5203018600.0
1967-01-01,5373217219.999999
1968-01-01,5719419090.0
1969-01-01,5790531390.000001
1970-01-01,6074079400.000001
1971-01-01,6333140200.000001
1972-01-01,6467596940.000001
1973-01-01,6466109440.0
1974-01-01,6704982700.0
1975-01-01,6817101199.999999
1976-01-01,6786281480.000001
1977-01-01,6855211440.0
1978-01-01,7168306019.999998
1979-01-01,7255514999.999998
1980-01-01,7433753680.000002
1981-01-01,7446816719.999998
1982-01-01,7270495800.0
1983-01-01,7354708900.000002
1984-01-01,7338618539.999998
1985-01-01,7465424280.0
1986-01-01,7523062140.0
1987-01-01,7658830720.0
1988-01-01,7671834760.0
1989-01-01,7420784400.0
1990-01-01,7454001659.999998
1991-01-01,6973745430.0
1992-01-01,6955181739.999999
1993-01-01,6768100350.0
1994-01-01,6776230390.0
1995-01-01,6607148769.999999
1996-01-01,6897088440.0
1997-01-01,6639716429.999999
1998-01-01,6972980980.0
1999-01-01,6748858800.0
2000-01-01,6735118740.000001
2001-01-01,6625468360.0
2002-01-01,6582320549.999999
2003-01-01,6782939540.0
2004-01-01,6748041900.0
2005-01-01,6692262030.0
2006-01-01,6715736960.000001
2007-01-01,6993971900.000001
2008-01-01,6948166859.999999
2009-01-01,6954163999.999999
2010-01-01,7075595579.999998
2011-01-01,7108859519.999998
2012-01-01,6996876930.0
2013-01-01,6975281820.000001
2014-01-01,7179817500.0
2015-01-01,7187441560.0
2016-01-01,7276634820.000002
2017-01-01,7255719239.999998
2018-01-01,7331866094.318504
2019-01-01,7365255611.885218
2020-01-01,7422554743.661075
2021-01-01,7471349798.606256
2022-01-01,7526894845.174816
2023-01-01,7581585791.5469265
2024-01-01,7638846922.872864
2025-01-01,7696835318.985415
2026-01-01,7756270205.641786
2027-01-01,7816663873.585271
2028-01-01,7878130550.523777
2029-01-01,7940513283.218928
2030-01-01,8003801236.763093
2031-01-01,8067926690.968259
