dates,Total_Meat_Consumption
1961-01-01,1551111480.0
1962-01-01,1720576620.0000002
1963-01-01,1890317520.0
1964-01-01,2019130740.0
1965-01-01,2120824080.0
1966-01-01,2337628700.0000005
1967-01-01,2506297400.0
1968-01-01,2595930150.0
1969-01-01,2686453699.9999995
1970-01-01,2915179930.0000005
1971-01-01,3063589649.9999995
1972-01-01,3141053510.0
1973-01-01,3416418450.0
1974-01-01,3428280040.0
1975-01-01,3439693599.9999995
1976-01-01,3577202580.0
1977-01-01,3697523620.000001
1978-01-01,3894034950.0
1979-01-01,4051557360.0
1980-01-01,4254912990.0
1981-01-01,4258216800.000001
1982-01-01,4263669150.0
1983-01-01,4465702549.999999
1984-01-01,4488765220.0
1985-01-01,4469554500.0
1986-01-01,4518831200.0
1987-01-01,4689478079.999999
1988-01-01,4745608139.999999
1989-01-01,4812107020.000001
1990-01-01,4880456400.0
1991-01-01,4934115840.0
1992-01-01,4943613949.999999
1993-01-01,5024844300.0
1994-01-01,5001647880.0
1995-01-01,4805474700.000001
1996-01-01,4990904900.0
1997-01-01,4867568160.0
1998-01-01,5012676620.0
1999-01-01,5012922879.999999
2000-01-01,5026312720.000001
2001-01-01,5126143750.000001
2002-01-01,5104154580.000001
2003-01-01,4969586450.0
2004-01-01,4962087240.0
2005-01-01,4927658550.0
2006-01-01,4977325860.000001
2007-01-01,5153962040.0
2008-01-01,5066113560.0
2009-01-01,5180049839.999999
2010-01-01,5307807750.0
2011-01-01,5162790960.0
2012-01-01,5180731080.0
2013-01-01,5056434680.0
2014-01-01,4751850600.0
2015-01-01,4705699040.0
2016-01-01,4651638840.0
2017-01-01,4911560300.0
2018-01-01,5106655960.63256
2019-01-01,5267744552.566351
2020-01-01,5411987851.966403
2021-01-01,5548678564.100821
2022-01-01,5682789968.325704
2023-01-01,5816979436.448784
2024-01-01,5952677335.745002
2025-01-01,6090668113.144032
2026-01-01,6231397578.142657
2027-01-01,6375134658.429852
2028-01-01,6522056358.5208
2029-01-01,6672292338.115528
2030-01-01,6825948297.593622
2031-01-01,6983118251.491834
