dates,Total_Meat_Consumption
1961-01-01,2123958510.0
1962-01-01,2179605120.0
1963-01-01,2209498980.0
1964-01-01,1812919680.0
1965-01-01,1987530400.0
1966-01-01,2236128540.0
1967-01-01,2329471159.9999995
1968-01-01,2462295040.0
1969-01-01,2639660320.0
1970-01-01,2513475249.9999995
1971-01-01,2155015800.0
1972-01-01,2039789220.0
1973-01-01,2183630400.0
1974-01-01,2493493660.0
1975-01-01,2816290080.0
1976-01-01,2889150000.0
1977-01-01,2910048150.0
1978-01-01,3027314070.0000005
1979-01-01,3000932040.0
1980-01-01,3088755840.0000005
1981-01-01,3108788300.0
1982-01-01,2719687750.0
1983-01-01,2660208420.0
1984-01-01,2859509919.9999995
1985-01-01,3163917360.0
1986-01-01,2944955070.0
1987-01-01,3029213760.0
1988-01-01,2831208600.0000005
1989-01-01,2750261400.0
1990-01-01,2731841249.9999995
1991-01-01,2878865370.0
1992-01-01,3029680440.0
1993-01-01,3348422900.0000005
1994-01-01,3342939510.0
1995-01-01,3165168640.0000005
1996-01-01,3093893880.0000005
1997-01-01,3180960970.0
1998-01-01,3362874750.0
1999-01-01,3641959290.0
2000-01-01,3641379960.0
2001-01-01,3510653680.0000005
2002-01-01,3002124940.0
2003-01-01,3178443599.9999995
2004-01-01,3358811920.0
2005-01-01,3492202470.0000005
2006-01-01,3685009100.000001
2007-01-01,3767598960.0
2008-01-01,3900585600.0
2009-01-01,4034130950.0
2010-01-01,4117818240.0
2011-01-01,4352648800.0
2012-01-01,4437303850.0
2013-01-01,4525521000.0
2014-01-01,4411753860.0
2015-01-01,4692590499.999999
2016-01-01,4706695440.0
2017-01-01,4805829060.0
2018-01-01,4727278666.848917
2019-01-01,4640152546.752854
2020-01-01,4611784923.40953
2021-01-01,4643508590.141097
2022-01-01,4712095303.851347
2023-01-01,4793922161.046645
2024-01-01,4874483232.421171
2025-01-01,4948809553.611268
2026-01-01,5017844567.965695
2027-01-01,5084532195.089722
2028-01-01,5151404248.048484
2029-01-01,5219785807.017344
2030-01-01,5289978431.786026
2031-01-01,5361755758.255212
