dates,Total_Meat_Consumption
1961-01-01,1096307700.0
1962-01-01,1196486060.0
1963-01-01,1220713200.0
1964-01-01,1259639599.9999998
1965-01-01,1245561300.0
1966-01-01,1227003120.0
1967-01-01,1207017000.0
1968-01-01,1274373120.0
1969-01-01,1363694670.0
1970-01-01,1343137070.0
1971-01-01,1457480390.0
1972-01-01,1540012320.0
1973-01-01,1487593999.9999998
1974-01-01,1289304559.9999998
1975-01-01,1723415490.0000002
1976-01-01,1808335360.0
1977-01-01,1774872419.9999995
1978-01-01,1853937390.0
1979-01-01,1635443110.0
1980-01-01,1614308080.0
1981-01-01,1618968120.0000002
1982-01-01,1687084770.0000002
1983-01-01,1630727400.0
1984-01-01,1653191370.0
1985-01-01,1757187520.0
1986-01-01,1782656820.0
1987-01-01,1814276130.0
1988-01-01,1817287920.0
1989-01-01,1869795180.0
1990-01-01,1954755250.0
1991-01-01,1927230680.0
1992-01-01,1951460280.0
1993-01-01,1950588430.0
1994-01-01,1987970310.0
1995-01-01,1957098610.0
1996-01-01,1957682070.0
1997-01-01,1946999430.0
1998-01-01,2057766770.0
1999-01-01,2073631560.0
2000-01-01,2109140460.0
2001-01-01,2110682200.0
2002-01-01,2148078720.0000005
2003-01-01,2313277120.0
2004-01-01,2141871200.0
2005-01-01,2366593120.0
2006-01-01,2294806800.0
2007-01-01,2553843600.0000005
2008-01-01,2397290160.0
2009-01-01,2442202279.9999995
2010-01-01,2480252250.0
2011-01-01,2729577180.0
2012-01-01,2687326320.0
2013-01-01,2702696100.0
2014-01-01,2819014120.0
2015-01-01,2949619000.0
2016-01-01,2985319520.0
2017-01-01,2989536000.0
2018-01-01,2996801324.545778
2019-01-01,3020461281.697825
2020-01-01,3052585373.0456123
2021-01-01,3090869305.1101522
2022-01-01,3133372891.125418
2023-01-01,3178921561.1934767
2024-01-01,3226742588.391977
2025-01-01,3276338628.6260724
2026-01-01,3327388878.0765567
2027-01-01,3379688163.2417407
2028-01-01,3433106861.3657618
2029-01-01,3487564862.5446215
2030-01-01,3543014548.9787936
2031-01-01,3599429665.8449535
