dates,Total_Meat_Consumption
1961-01-01,2234273569.92
1962-01-01,2707948814.72
1963-01-01,4318788629.76
1964-01-01,5531471362.56
1965-01-01,6271736609.280003
1966-01-01,6793097030.400001
1967-01-01,7214016184.320002
1968-01-01,7142923322.880002
1969-01-01,7012078060.799999
1970-01-01,6951848601.6
1971-01-01,7918930800.0
1972-01-01,8738334460.800003
1973-01-01,8814796270.72
1974-01-01,8930201120.000002
1975-01-01,9197573368.320002
1976-01-01,9144044422.400002
1977-01-01,9214911496.96
1978-01-01,10033155517.44
1979-01-01,12139284526.080002
1980-01-01,13611211616.64
1981-01-01,14226728884.48
1982-01-01,15151968142.08
1983-01-01,15699010498.56
1984-01-01,17110641757.440002
1985-01-01,19360601856.0
1986-01-01,20454861818.88
1987-01-01,22321899520.0
1988-01-01,24734120455.680004
1989-01-01,26097783029.76
1990-01-01,27903918881.280003
1991-01-01,30323442350.08
1992-01-01,33256956262.4
1993-01-01,36137924761.600006
1994-01-01,39385239375.36
1995-01-01,42600816556.8
1996-01-01,43269055413.76001
1997-01-01,46794812866.560005
1998-01-01,50764799704.319984
1999-01-01,53067536481.28
2000-01-01,56797151270.4
2001-01-01,56849928099.84
2002-01-01,58307902054.4
2003-01-01,61332622535.68
2004-01-01,61840995517.44
2005-01-01,64476100300.8
2006-01-01,66866911641.6
2007-01-01,69237930536.95999
2008-01-01,72700192279.04001
2009-01-01,75395152239.36
2010-01-01,77816905804.79999
2011-01-01,78253914028.8
2012-01-01,82526358858.24
2013-01-01,84988376468.48
2014-01-01,85128783900.16
2015-01-01,85381605120.0
2016-01-01,86030742620.15999
2017-01-01,86099720071.68001
2018-01-01,88623454048.91147
2019-01-01,93643254816.0571
2020-01-01,99600689972.56955
2021-01-01,106088215912.5967
2022-01-01,113031975859.55492
2023-01-01,120437651638.23434
2024-01-01,128330169984.98174
2025-01-01,136740260091.39325
2026-01-01,145701582644.05222
2027-01-01,155250206086.32565
2028-01-01,165424606985.06445
2029-01-01,176265793239.62463
2030-01-01,187817462366.4526
2031-01-01,200126176092.28494
