dates,Total_Meat_Consumption
1961-01-01,1700675340.8
1962-01-01,1744966410.2399998
1963-01-01,1762079621.1199996
1964-01-01,1794072160.0
1965-01-01,1821798979.2
1966-01-01,1849964160.0
1967-01-01,1899463620.8
1968-01-01,1940026041.6
1969-01-01,1971395036.16
1970-01-01,2004235957.76
1971-01-01,2067039636.48
1972-01-01,2086102243.84
1973-01-01,2141171942.4000003
1974-01-01,2197778858.88
1975-01-01,2249401743.36
1976-01-01,2295468057.6
1977-01-01,2335624305.92
1978-01-01,2396325114.88
1979-01-01,2472441928.96
1980-01-01,2572147128.32
1981-01-01,2654078439.0400004
1982-01-01,2885021565.44
1983-01-01,2937761648.6400003
1984-01-01,2982980463.36
1985-01-01,3113909200.0
1986-01-01,3183840654.7200003
1987-01-01,3377089774.08
1988-01-01,3441997557.1200004
1989-01-01,3506873401.6000004
1990-01-01,3597905425.92
1991-01-01,3761172161.28
1992-01-01,3837275573.76
1993-01-01,3922919055.36
1994-01-01,3952616293.12
1995-01-01,3952084332.8000007
1996-01-01,4008049167.36
1997-01-01,4023617871.3600006
1998-01-01,4139105169.92
1999-01-01,4204134835.2
2000-01-01,4205172480.000001
2001-01-01,4332250257.919999
2002-01-01,4449800157.440001
2003-01-01,4546128840.96
2004-01-01,4721824307.2
2005-01-01,4739629233.92
2006-01-01,4848421560.32
2007-01-01,5146958976.0
2008-01-01,5294954488.32
2009-01-01,5406703226.879999
2010-01-01,5406150604.8
2011-01-01,5176192320.0
2012-01-01,5202355668.4800005
2013-01-01,4726306920.96
2014-01-01,4534603584.0
2015-01-01,4808257605.120001
2016-01-01,4993429059.84
2017-01-01,5060199029.76
2018-01-01,5154525575.968843
2019-01-01,5254513616.417773
2020-01-01,5357313406.128643
2021-01-01,5462440555.471886
2022-01-01,5569777134.868263
2023-01-01,5679295926.061095
2024-01-01,5791005273.894913
2025-01-01,5904930798.321202
2026-01-01,6021107203.974326
2027-01-01,6139574239.528124
2028-01-01,6260374659.230824
2029-01-01,6383553192.964215
2030-01-01,6509156029.571668
2031-01-01,6637230562.096467
