dates,Total_Meat_Consumption
1961-01-01,105729120.0
1962-01-01,106453620.0
1963-01-01,116221980.0
1964-01-01,124756680.0
1965-01-01,132211550.0
1966-01-01,143482720.0
1967-01-01,161099400.00000003
1968-01-01,160252400.0
1969-01-01,175797600.0
1970-01-01,188156100.0
1971-01-01,190931760.0
1972-01-01,188276300.0
1973-01-01,191216520.0
1974-01-01,184294880.0
1975-01-01,193767630.0
1976-01-01,205106700.0
1977-01-01,207214690.0
1978-01-01,215815910.0
1979-01-01,230349280.0
1980-01-01,240594720.0
1981-01-01,258122880.00000003
1982-01-01,272650420.0
1983-01-01,280623480.0
1984-01-01,289742760.0
1985-01-01,298878990.0
1986-01-01,300683460.0
1987-01-01,312473719.99999994
1988-01-01,322692300.0
1989-01-01,259863780.0
1990-01-01,198821350.00000003
1991-01-01,204842100.00000003
1992-01-01,217522260.0
1993-01-01,227745900.00000003
1994-01-01,267673110.0
1995-01-01,293265360.0
1996-01-01,319609880.0
1997-01-01,338152770.0
1998-01-01,348924150.00000006
1999-01-01,374527910.0
2000-01-01,448512000.0
2001-01-01,502946250.0
2002-01-01,612493680.0
2003-01-01,741976090.0
2004-01-01,873666360.0000001
2005-01-01,1049977500.0
2006-01-01,1201958380.0
2007-01-01,1335301110.0
2008-01-01,1472435700.0
2009-01-01,1684882499.9999998
2010-01-01,1910187750.0000005
2011-01-01,2016694050.0
2012-01-01,2020570200.0
2013-01-01,2023783560.0000005
2014-01-01,2711815470.0
2015-01-01,2914312920.0
2016-01-01,2989085749.9999995
2017-01-01,3109025919.9999995
2018-01-01,3239441123.624884
2019-01-01,3427006187.8796954
2020-01-01,3624056049.536839
2021-01-01,3843124050.9446425
2022-01-01,4074631371.4898863
2023-01-01,4322315503.540764
2024-01-01,4584782289.041679
2025-01-01,4863657653.906518
2026-01-01,5159417026.241365
2027-01-01,5473261861.560452
2028-01-01,5806176655.160442
2029-01-01,6159362800.500058
2030-01-01,6534027670.377103
2031-01-01,6931487533.081744
