dates,Total_Meat_Consumption
1961-01-01,107205240.0
1962-01-01,86870880.0
1963-01-01,116125960.0
1964-01-01,140485800.0
1965-01-01,143324159.99999997
1966-01-01,153188140.0
1967-01-01,138183090.0
1968-01-01,141176439.99999997
1969-01-01,160558959.99999997
1970-01-01,173858399.99999997
1971-01-01,180023479.99999997
1972-01-01,191995110.0
1973-01-01,200825520.0
1974-01-01,215294390.0
1975-01-01,251544689.99999997
1976-01-01,267767900.0
1977-01-01,313685000.0
1978-01-01,417269760.00000006
1979-01-01,558163680.0
1980-01-01,501446280.0
1981-01-01,501439980.0
1982-01-01,586058000.0
1983-01-01,678100880.0000001
1984-01-01,713239200.0
1985-01-01,750793600.0
1986-01-01,748547100.0
1987-01-01,819566420.0000001
1988-01-01,876672210.0000001
1989-01-01,941175650.0
1990-01-01,1084108680.0
1991-01-01,1224853520.0
1992-01-01,1514071440.0
1993-01-01,1532217600.0
1994-01-01,1638170999.9999998
1995-01-01,1738798269.9999998
1996-01-01,1878078550.0
1997-01-01,1958248440.0
1998-01-01,1838732240.0
1999-01-01,2170304720.0
2000-01-01,2254292820.0000005
2001-01-01,2082843960.0
2002-01-01,2416799999.9999995
2003-01-01,2563141710.0
2004-01-01,2187034300.0
2005-01-01,2425309800.0
2006-01-01,2671292000.0
2007-01-01,2760670500.0
2008-01-01,2750257439.9999995
2009-01-01,2783170800.0
2010-01-01,2929654980.0
2011-01-01,3096689200.0000005
2012-01-01,3184880820.0
2013-01-01,3202509060.0
2014-01-01,3224741760.0
2015-01-01,3392943479.9999995
2016-01-01,3515277850.0
2017-01-01,3612487200.0
2018-01-01,3880025328.6252465
2019-01-01,4161682400.170043
2020-01-01,4405974179.406475
2021-01-01,4697025256.9150915
2022-01-01,5010280493.358847
2023-01-01,5331362226.393452
2024-01-01,5678900965.183438
2025-01-01,6050567995.0122175
2026-01-01,6443702901.155841
2027-01-01,6863379716.458212
2028-01-01,7310866136.436463
2029-01-01,7786923610.17466
2030-01-01,8294133660.097777
2031-01-01,8834512970.086386
