dates,Total_Meat_Consumption
1961-01-01,3650886720.0
1962-01-01,3767552460.0
1963-01-01,3765400380.0
1964-01-01,3759955740.0
1965-01-01,3797954820.0
1966-01-01,3871670550.0
1967-01-01,3894459660.0
1968-01-01,3959652060.000001
1969-01-01,3998123280.0
1970-01-01,4036822720.0
1971-01-01,4143265680.000001
1972-01-01,4142156120.0
1973-01-01,3933861440.0
1974-01-01,3963460720.0
1975-01-01,3837427680.0
1976-01-01,3767405400.0
1977-01-01,3789273680.0
1978-01-01,3937230300.0
1979-01-01,4061373300.000001
1980-01-01,3970603760.0
1981-01-01,3894990880.0
1982-01-01,3878379360.0
1983-01-01,3871294830.000001
1984-01-01,3917396820.0
1985-01-01,3979443560.0
1986-01-01,4050438180.000001
1987-01-01,4170595380.0
1988-01-01,4170642330.0
1989-01-01,4073071260.0
1990-01-01,4111933980.0
1991-01-01,4154743320.0
1992-01-01,4344640980.0
1993-01-01,4161168480.0
1994-01-01,4256555470.0
1995-01-01,4258002000.000001
1996-01-01,4251039100.0
1997-01-01,4273320030.000001
1998-01-01,4464898100.0
1999-01-01,4461241680.0
2000-01-01,4541195610.0
2001-01-01,4638869040.0
2002-01-01,4700398980.0
2003-01-01,4938798120.0
2004-01-01,5085612620.0
2005-01-01,5035253760.0
2006-01-01,5212967910.0
2007-01-01,5231664150.000001
2008-01-01,5064817500.0
2009-01-01,5075326620.0
2010-01-01,5143433000.0
2011-01-01,5279254120.0
2012-01-01,5349122500.000001
2013-01-01,5295546160.000001
2014-01-01,4863545820.0
2015-01-01,5175937399.999999
2016-01-01,5356215420.0
2017-01-01,5331487300.0
2018-01-01,5335807092.13236
2019-01-01,5370047880.453166
2020-01-01,5410264194.627915
2021-01-01,5447843321.641632
2022-01-01,5483698753.10375
2023-01-01,5519577943.585079
2024-01-01,5555945099.728623
2025-01-01,5592675944.03176
2026-01-01,5629651399.379615
2027-01-01,5666851441.063489
2028-01-01,5704290015.879377
2029-01-01,5741976656.294135
2030-01-01,5779913739.1164
2031-01-01,5818101863.861732
