dates,Total_Meat_Consumption
1961-01-01,16807276200.0
1962-01-01,17202487299.999996
1963-01-01,18052652520.0
1964-01-01,18931427200.0
1965-01-01,18727059840.0
1966-01-01,19581893040.0
1967-01-01,20567896543.04
1968-01-01,21132160080.0
1969-01-01,21397184184.32
1970-01-01,22174855073.280003
1971-01-01,22943619360.000004
1972-01-01,23022496500.0
1973-01-01,21730928017.92
1974-01-01,23053271549.44
1975-01-01,22390077382.4
1976-01-01,24107217440.0
1977-01-01,24261577280.0
1978-01-01,24076339555.2
1979-01-01,24232064862.72
1980-01-01,24854545560.0
1981-01-01,25127873280.0
1982-01-01,24698617860.0
1983-01-01,25604534400.0
1984-01-01,25910447880.000004
1985-01-01,26536770000.0
1986-01-01,26844733424.640003
1987-01-01,27274398009.6
1988-01-01,28178144520.000008
1989-01-01,28156606500.0
1990-01-01,28408881600.0
1991-01-01,29088717834.24
1992-01-01,30173314249.280006
1993-01-01,30230287360.0
1994-01-01,31206678048.000008
1995-01-01,31323823320.0
1996-01-01,31623280692.799995
1997-01-01,31757930449.92
1998-01-01,33131070963.2
1999-01-01,34489813360.0
2000-01-01,34278595453.44
2001-01-01,34374954240.0
2002-01-01,35734635805.12
2003-01-01,35696636720.000015
2004-01-01,36769489356.16
2005-01-01,36962746195.200005
2006-01-01,37380665864.32
2007-01-01,37717285760.0
2008-01-01,37210420421.76
2009-01-01,36361822680.0
2010-01-01,36716687970.56
2011-01-01,36234103360.0
2012-01-01,36086796040.0
2013-01-01,36427246208.960014
2014-01-01,37466383669.44
2015-01-01,38781317013.76
2016-01-01,39685745760.0
2017-01-01,40343047507.2
2018-01-01,41025788439.04797
2019-01-01,41715179736.71071
2020-01-01,42414553157.12918
2021-01-01,43123554424.559975
2022-01-01,43842446657.47489
2023-01-01,44571392762.970276
2024-01-01,45310575135.47358
2025-01-01,46060175737.34602
2026-01-01,46820379461.13203
2027-01-01,47591373611.44524
2028-01-01,48373348035.250015
2029-01-01,49166495145.44315
2030-01-01,49971009963.5896
2031-01-01,50787090160.79919
