dates,Total_Meat_Consumption
1961-01-01,372009300.0
1962-01-01,384981300.0
1963-01-01,401504040.0
1964-01-01,401269800.0
1965-01-01,420234900.0
1966-01-01,434381700.0
1967-01-01,447214680.0
1968-01-01,445719080.0
1969-01-01,434915960.0
1970-01-01,431011650.0
1971-01-01,437277720.0
1972-01-01,458212880.0
1973-01-01,458583359.9999999
1974-01-01,445125719.9999999
1975-01-01,408744020.0
1976-01-01,414709050.0
1977-01-01,424180740.0
1978-01-01,442171089.9999999
1979-01-01,466705050.0
1980-01-01,490166460.0
1981-01-01,616305300.0
1982-01-01,686313120.0
1983-01-01,780927640.0
1984-01-01,815328100.0
1985-01-01,840987570.0
1986-01-01,888935380.0000002
1987-01-01,972092520.0
1988-01-01,973544000.0
1989-01-01,1030194000.0
1990-01-01,1045670820.0
1991-01-01,1021418270.0
1992-01-01,1154684070.0
1993-01-01,1197288000.0
1994-01-01,1289629010.0
1995-01-01,1355870999.9999998
1996-01-01,1420968919.9999998
1997-01-01,1540346010.0
1998-01-01,1625593960.0
1999-01-01,1754599200.0
2000-01-01,1886675100.0
2001-01-01,2042797900.0
2002-01-01,2266645200.0
2003-01-01,2441077320.0000005
2004-01-01,2634758359.9999995
2005-01-01,2929125020.0
2006-01-01,3224791980.0
2007-01-01,3607286600.0
2008-01-01,3974939870.0
2009-01-01,4385953119.999999
2010-01-01,4532111360.0
2011-01-01,5118080890.0
2012-01-01,4939110000.000001
2013-01-01,5012288190.0
2014-01-01,5637659580.0
2015-01-01,5963764949.999999
2016-01-01,5937712399.999999
2017-01-01,5991081330.0
2018-01-01,6166110947.017512
2019-01-01,6370273298.564256
2020-01-01,6610573819.723586
2021-01-01,6880148668.51441
2022-01-01,7176297075.062625
2023-01-01,7496914525.166821
2024-01-01,7840735367.252462
2025-01-01,8207046572.604368
2026-01-01,8595564982.06164
2027-01-01,9006336433.971363
2028-01-01,9439665349.518131
2029-01-01,9896063214.399195
2030-01-01,10376211126.13005
2031-01-01,10880932540.231054
