Entity,Code,Year,"GDP per capita, PPP (constant 2011 international $)","Per capita CO2 emissions","Per capita consumption-based CO2 emissions",Total_CO2_emission,Total_population
Argentina,ARG,1887,,0.35102782733432936,,1084544,3089624
Argentina,ARG,1888,,0.2790994232449314,,890352,3190089
Argentina,ARG,1889,,0.5327618342207355,,1755056.0000000002,3294260
Argentina,ARG,1890,,0.4027707359168414,,1370335.9999999998,3402273
Argentina,ARG,1891,,0.2669074375965173,,937984.0000000001,3514267
Argentina,ARG,1892,,0.3814998235725282,,1384992,3630387
Argentina,ARG,1893,,0.41418967341227864,,1553536,3750784
Argentina,ARG,1894,,0.5142969641189665,,1993216.0000000002,3875613
Argentina,ARG,1895,,0.5653761913750588,,2264352,4005036
Argentina,ARG,1896,,0.5565055795295148,,2304656.0000000005,4141299
Argentina,ARG,1897,,0.48576311522972043,,2081151.9999999998,4284294
Argentina,ARG,1898,,0.5296476523764443,,2348624,4434314
Argentina,ARG,1899,,0.635983518746348,,2920208,4591641
Argentina,ARG,1900,,0.43521523093531456,,2070160,4756635
Argentina,ARG,1901,,0.5054158069020805,,2491520,4929644
Argentina,ARG,1902,,0.5523017479647511,,2813952.0000000005,5094954
Argentina,ARG,1903,,0.5413962523954402,,2861584,5285563
Argentina,ARG,1904,,0.6919460618414178,,3795904,5485838
Argentina,ARG,1905,,0.6991931862349756,,3982768,5696234
Argentina,ARG,1906,,1.0574511234402064,,6254448,5914645
Argentina,ARG,1907,,1.0217634399889304,,6254448,6121229
Argentina,ARG,1908,,1.198474691230702,,7617456.000000002,6355959
Argentina,ARG,1909,,0.8993856543587934,,5935680,6599705
Argentina,ARG,1910,,1.2998123796727963,,8907184.000000002,6852669
Argentina,ARG,1911,,1.3988870064993317,,9944096,7108577
Argentina,ARG,1912,,1.2841576131722925,,9478768,7381312
Argentina,ARG,1913,,1.3272574925971787,,10145616.000000002,7644045
Argentina,ARG,1914,,1.100815226600552,,8672688,7878423
Argentina,ARG,1915,,0.8599529948962559,,6939616,8069762
Argentina,ARG,1916,,0.6056914079632683,,4986704.000000001,8233077
Argentina,ARG,1917,,0.2662089582652066,,2231376,8382047
Argentina,ARG,1918,,0.2954965828073296,,2520832,8530833
Argentina,ARG,1919,,0.4286367494590979,,3726288.0000000005,8693347
Argentina,ARG,1920,,0.6631156207378501,,5891712,8884894
Argentina,ARG,1921,,0.6076423199215807,,5539967.999999999,9117153
