Entity,Code,Year,month,dates,Total_Meat_Consumption
Argentina,ARG,1961,January,January-1961,2123958510
Argentina,ARG,1962,January,January-1962,2179605120
Argentina,ARG,1963,January,January-1963,2209498980
Argentina,ARG,1964,January,January-1964,1812919679.9999998
Argentina,ARG,1965,January,January-1965,1987530400
Argentina,ARG,1966,January,January-1966,2236128540
Argentina,ARG,1967,January,January-1967,2329471159.9999995
Argentina,ARG,1968,January,January-1968,2462295040
Argentina,ARG,1969,January,January-1969,2639660320
Argentina,ARG,1970,January,January-1970,2513475249.9999995
Argentina,ARG,1971,January,January-1971,2155015800
Argentina,ARG,1972,January,January-1972,2039789220.0000002
Argentina,ARG,1973,January,January-1973,2183630400
Argentina,ARG,1974,January,January-1974,2493493660
Argentina,ARG,1975,January,January-1975,2816290080
Argentina,ARG,1976,January,January-1976,2889150000
Argentina,ARG,1977,January,January-1977,2910048150
Argentina,ARG,1978,January,January-1978,3027314070.0000005
Argentina,ARG,1979,January,January-1979,3000932040
Argentina,ARG,1980,January,January-1980,3088755840.0000005
Argentina,ARG,1981,January,January-1981,3108788300
Argentina,ARG,1982,January,January-1982,2719687750
Argentina,ARG,1983,January,January-1983,2660208420
Argentina,ARG,1984,January,January-1984,2859509919.9999995
Argentina,ARG,1985,January,January-1985,3163917360
Argentina,ARG,1986,January,January-1986,2944955070
Argentina,ARG,1987,January,January-1987,3029213760
Argentina,ARG,1988,January,January-1988,2831208600.0000005
Argentina,ARG,1989,January,January-1989,2750261400
Argentina,ARG,1990,January,January-1990,2731841249.9999995
Argentina,ARG,1991,January,January-1991,2878865370
Argentina,ARG,1992,January,January-1992,3029680440
Argentina,ARG,1993,January,January-1993,3348422900.0000005
Argentina,ARG,1994,January,January-1994,3342939510
Argentina,ARG,1995,January,January-1995,3165168640.0000005
Argentina,ARG,1996,January,January-1996,3093893880.0000005
Argentina,ARG,1997,January,January-1997,3180960970
Argentina,ARG,1998,January,January-1998,3362874750
Argentina,ARG,1999,January,January-1999,3641959290
Argentina,ARG,2000,January,January-2000,3641379959.9999995
Argentina,ARG,2001,January,January-2001,3510653680.0000005
Argentina,ARG,2002,January,January-2002,3002124940
Argentina,ARG,2003,January,January-2003,3178443599.9999995
Argentina,ARG,2004,January,January-2004,3358811920
Argentina,ARG,2005,January,January-2005,3492202470.0000005
Argentina,ARG,2006,January,January-2006,3685009100.0000005
Argentina,ARG,2007,January,January-2007,3767598960
Argentina,ARG,2008,January,January-2008,3900585599.9999995
Argentina,ARG,2009,January,January-2009,4034130950
Argentina,ARG,2010,January,January-2010,4117818240
Argentina,ARG,2011,January,January-2011,4352648800
Argentina,ARG,2012,January,January-2012,4437303850
Argentina,ARG,2013,January,January-2013,4525521000
Argentina,ARG,2014,January,January-2014,4411753860
Argentina,ARG,2015,January,January-2015,4692590499.999999
Argentina,ARG,2016,January,January-2016,4706695440
Argentina,ARG,2017,January,January-2017,4805829060
Australia,AUS,1961,January,January-1961,1096307700
Australia,AUS,1962,January,January-1962,1196486060
Australia,AUS,1963,January,January-1963,1220713200
Australia,AUS,1964,January,January-1964,1259639599.9999998
Australia,AUS,1965,January,January-1965,1245561300
Australia,AUS,1966,January,January-1966,1227003120
Australia,AUS,1967,January,January-1967,1207017000
Australia,AUS,1968,January,January-1968,1274373120
Australia,AUS,1969,January,January-1969,1363694670
Australia,AUS,1970,January,January-1970,1343137070
Australia,AUS,1971,January,January-1971,1457480390
Australia,AUS,1972,January,January-1972,1540012320
Australia,AUS,1973,January,January-1973,1487593999.9999998
Australia,AUS,1974,January,January-1974,1289304559.9999998
Australia,AUS,1975,January,January-1975,1723415490.0000002
Australia,AUS,1976,January,January-1976,1808335359.9999998
Australia,AUS,1977,January,January-1977,1774872419.9999998
Australia,AUS,1978,January,January-1978,1853937389.9999998
Australia,AUS,1979,January,January-1979,1635443110
Australia,AUS,1980,January,January-1980,1614308080
Australia,AUS,1981,January,January-1981,1618968120.0000002
Australia,AUS,1982,January,January-1982,1687084770.0000002
Australia,AUS,1983,January,January-1983,1630727400
Australia,AUS,1984,January,January-1984,1653191370
Australia,AUS,1985,January,January-1985,1757187520
Australia,AUS,1986,January,January-1986,1782656820
Australia,AUS,1987,January,January-1987,1814276130
Australia,AUS,1988,January,January-1988,1817287920
Australia,AUS,1989,January,January-1989,1869795180
Australia,AUS,1990,January,January-1990,1954755250.0000002
Australia,AUS,1991,January,January-1991,1927230680
Australia,AUS,1992,January,January-1992,1951460280.0000002
Australia,AUS,1993,January,January-1993,1950588430
Australia,AUS,1994,January,January-1994,1987970310.0000002
Australia,AUS,1995,January,January-1995,1957098610
Australia,AUS,1996,January,January-1996,1957682070
