Entity,Code,Year,Bovine_meat,Poultry_meat,Pigmeat,Mutton_Goat,Meat_Other,TOTAL_meat_consumed_per_capita,Total_population,Total_Consumption,dates,month,"GDP per capita, PPP (constant 2011 international $)","Per capita CO2 emissions","Per capita consumption-based CO2 emissions",Total_CO2_emission
Argentina,ARG,1961,83.45,2.05,8.69,6.94,0.9,102.03,20817000,2123958510,January-1961,January,,2.456007600390202,,51126710.217322834
Argentina,ARG,1962,86.1,2.39,7.31,6.45,0.79,103.04,21153000,2179605120,January-1962,January,,2.535816435947918,,53640125.069606304
Argentina,ARG,1963,86.62,2.86,6.85,5.67,0.82,102.82,21489000,2209498980,January-1963,January,,2.328291684703729,,50032660.01259843
Argentina,ARG,1964,65.32,3.88,6.79,5.83,1.25,83.07,21824000,1812919679.9999998,January-1964,January,,2.550863328248568,,55670041.27569675
Argentina,ARG,1965,66.96,5.73,9.45,6.55,1,89.69,22160000,1987530400,January-1965,January,,2.6536484457773106,,58804849.5584252
Argentina,ARG,1966,76.7,5.41,9.78,6.64,0.88,99.41,22494000,2236128540,January-1966,January,,2.8039773566634394,,63072666.6607874
Argentina,ARG,1967,79.57,5.49,9.19,6.96,0.83,102.03999999999998,22829000,2329471159.9999995,January-1967,January,,2.8681055504604895,,65475981.61146252
Argentina,ARG,1968,83.97,5.95,7.8,7.97,0.59,106.28,23168000,2462295040,January-1968,January,,2.9786437053552013,,69009217.36566931
Argentina,ARG,1969,89.57,6.19,8.62,7,0.86,112.24,23518000,2639660320,January-1969,January,,3.2846700357106267,,77248869.89984252
Argentina,ARG,1970,81.57,7.8,8.68,6.35,0.85,105.24999999999997,23881000,2513475249.9999995,January-1970,January,,3.4608266505148393,,82648001.24094488
Argentina,ARG,1971,61.83,8.7,10.13,6.95,1.22,88.83,24260000,2155015800,January-1971,January,,3.662172697405405,,88844309.63905512
Argentina,ARG,1972,59.92,8.26,8.69,5.2,0.67,82.74000000000001,24653000,2039789220.0000002,January-1972,January,,3.653149089928842,,90061084.51401575
Argentina,ARG,1973,63.95,8.2,9.82,4.53,0.65,87.15,25056000,2183630400,January-1973,January,,3.750318418207782,,93967978.28661418
Argentina,ARG,1974,72.41,11.01,9.31,3.98,1.22,97.93,25462000,2493493660,January-1974,January,,3.7494849674518833,,95469386.24125986
Argentina,ARG,1975,83.34,10.65,9.66,4.21,1.02,108.88,25866000,2816290080,January-1975,January,,3.66626278056927,,94831553.08220473
Argentina,ARG,1976,85.99,9.74,9.14,4.07,1.06,110,26265000,2889150000,January-1976,January,,3.7946199819029105,,99665693.82467994
Argentina,ARG,1977,85.86,9.17,8.77,4.1,1.25,109.14999999999999,26661000,2910048150,January-1977,January,,3.7752104738636616,,100650886.44367908
Argentina,ARG,1978,89.18,9.65,7.79,4.11,1.14,111.87000000000002,27061000,3027314070.0000005,January-1978,January,,3.7868823468330572,,102476823.18764937
Argentina,ARG,1979,83.83,10.77,9.32,4.12,1.2,109.24,27471000,3000932040,January-1979,January,,4.0228209004047395,,110510912.9550186
Argentina,ARG,1980,85.04,11.2,9.48,3.8,1.2,110.72000000000001,27897000,3088755840.0000005,January-1980,January,,3.890023994830234,,108519999.38377903
Argentina,ARG,1981,84.77,11.01,8.91,3.73,1.28,109.7,28339000,3108788300,January-1981,January,,3.592917499455907,,101819689.01708095
Argentina,ARG,1982,70.05,11.8,7.93,3.48,1.19,94.45,28795000,2719687750,January-1982,January,,3.5841834415188742,,103206562.19853598
Argentina,ARG,1983,67.08,12.18,7.03,3.47,1.15,90.91,29262000,2660208420,January-1983,January,,3.5875491175831487,,104978862.2787181
Argentina,ARG,1984,72.44,11.86,7.02,3.52,1.32,96.15999999999998,29737000,2859509919.9999995,January-1984,January,,3.574099112106838,,106282985.29672104
Argentina,ARG,1985,81.97,12.08,6.35,3.19,1.12,104.71,30216000,3163917360,January-1985,January,,3.3216243247089743,,100366200.59540637
Argentina,ARG,1986,72.09,12.86,6.69,3.18,1.11,95.93,30699000,2944955070,January-1986,January,,3.385580648435738,,103933940.32632872
Argentina,ARG,1987,71.96,14.5,6.56,2.86,1.26,97.14,31184000,3029213760,January-1987,January,,3.675316308657056,,114611063.76916163
Argentina,ARG,1988,67.48,12.34,6,2.65,0.93,89.40000000000002,31669000,2831208600.0000005,January-1988,January,,3.8248480805193044,,121129113.86196585
Argentina,ARG,1989,65.9,10.82,5.22,2.61,1,85.55,32148000,2750261400,January-1989,January,,3.6332592514943065,,116802018.41703896
Argentina,ARG,1990,64.22,11.35,4.25,2.57,1.36,83.74999999999999,32619000,2731841249.9999995,January-1990,January,10815.7151226019,3.4302099340920065,3.2013960875950964,111890017.84014715
