Entity,year,Total_CO2_emission,total_land_use,Total_water_use
China,2017,9838754028.261343,2860136992055.5063,562056656362145.3
"United States",2017,5270748525.435833,2236036315483.1567,323990460089585.25
India,2017,2456954485.456873,300400949202.73566,35702006679383.04
Russia,2017,1647041080.833926,434395455740.5993,74807957416500
Japan,2017,1188122473.4869492,241179700582.49313,44763003522360
Germany,2017,797966400.1392046,270893131513.05142,51522852404280
Iran,2017,685944664.3966886,130526353316.04324,18271074949160
"South Korea",2017,640584969.1625392,160163814607.7976,27804483668400
Indonesia,2017,584075458.2182004,160250357858.4531,22643725500185.6
Canada,2017,571138877.4021367,135421124630.60286,22163254983600
Mexico,2017,492769503.2198901,360303055713.27466,58208746257169.99
Brazil,2017,463839619.6870117,1384032968369.636,179952964983000
"South Africa",2017,462812494.205637,201947327367.2285,26231039849599.996
Turkey,2017,425329603.9808709,262458132903.51813,27138606986400
Australia,2017,417041277.9107658,204647046450.6337,24581413540200.004
"United Kingdom",2017,387387320.50982875,279864139292.7673,39890825888720
Italy,2017,348991358.552772,201418494589.53766,35883042273020
France,2017,346533494.8672917,313220097843.03326,43903464640330
Poland,2017,336591062.5971421,50917648132.85505,19386734736060
Spain,2017,274427201.34580785,151053200168.28873,31062266687610
Pakistan,2017,211512375.29249457,390219702739.04407,37085586190200
Argentina,2017,199552005.97137457,417991154817.42993,48016666443679.99
Vietnam,2017,184727120.36712787,249410326040.79163,45378083752690.01
Philippines,2017,131023970.25660531,121664768359.76804,25632305005720
Myanmar,2017,25407005.782640774,114295399926.7888,20488908944460
