per_capita_land_use,Total_land_use,Entity,Code,Year,Bovine_meat,Poultry_meat,Pigmeat,Mutton_Goat,Meat_Other,TOTAL_meat_consumed_per_capita,Total_population,Total_Meat_Consumption,month,dates
15045.6880709507,313206088572.9807,Argentina,ARG,1961,83.45,2.05,8.69,6.94,0.9,102.03,20817000,2123958510,January,January-1961
15375.845497565719,325245259810.0076,Argentina,ARG,1962,86.1,2.39,7.31,6.45,0.79,103.04,21153000,2179605120,January,January-1962
15315.25269247134,329109465108.5166,Argentina,ARG,1963,86.62,2.86,6.85,5.67,0.82,102.82,21489000,2209498980,January,January-1963
11868.370962653958,259015327888.96,Argentina,ARG,1964,65.32,3.88,6.79,5.83,1.25,83.07,21824000,1812919679.9999998,January,January-1964
12310.40364077246,272798544679.5177,Argentina,ARG,1965,66.96,5.73,9.45,6.55,1,89.69,22160000,1987530400,January,January-1965
13921.3001397208,313145725342.8797,Argentina,ARG,1966,76.7,5.41,9.78,6.64,0.88,99.41,22494000,2236128540,January,January-1966
14444.009840030958,329742300638.0667,Argentina,ARG,1967,79.57,5.49,9.19,6.96,0.83,102.03999999999998,22829000,2329471159.9999995,January,January-1967
15337.93873105234,355349364521.0206,Argentina,ARG,1968,83.97,5.95,7.8,7.97,0.59,106.28,23168000,2462295040,January,January-1968
16086.29395209324,378317461165.3288,Argentina,ARG,1969,89.57,6.19,8.62,7,0.86,112.24,23518000,2639660320,January,January-1969
14669.365584712099,350319119528.50964,Argentina,ARG,1970,81.57,7.8,8.68,6.35,0.85,105.24999999999997,23881000,2513475249.9999995,January,January-1970
11574.14414202982,280788736885.64343,Argentina,ARG,1971,61.83,8.7,10.13,6.95,1.22,88.83,24260000,2155015800,January,January-1971
10917.67129243944,269153350372.5095,Argentina,ARG,1972,59.92,8.26,8.69,5.2,0.67,82.74000000000001,24653000,2039789220.0000002,January,January-1972
11464.7649003279,287261149342.61584,Argentina,ARG,1973,63.95,8.2,9.82,4.53,0.65,87.15,25056000,2183630400,January,January-1973
12763.59418413234,324986635116.3776,Argentina,ARG,1974,72.41,11.01,9.31,3.98,1.22,97.93,25462000,2493493660,January,January-1974
14594.68077900192,377506013029.66364,Argentina,ARG,1975,83.34,10.65,9.66,4.21,1.02,108.88,25866000,2816290080,January,January-1975
14990.48369158164,393725054159.3918,Argentina,ARG,1976,85.99,9.74,9.14,4.07,1.06,110,26265000,2889150000,January,January-1976
14967.46986386344,399047714040.4632,Argentina,ARG,1977,85.86,9.17,8.77,4.1,1.25,109.14999999999999,26661000,2910048150,January,January-1977
15504.922242873743,419578700814.4064,Argentina,ARG,1978,89.18,9.65,7.79,4.11,1.14,111.87000000000002,27061000,3027314070.0000005,January,January-1978
14656.07207401684,402616955945.3166,Argentina,ARG,1979,83.83,10.77,9.32,4.12,1.2,109.24,27471000,3000932040,January,January-1979
14799.633467774001,412865374850.49133,Argentina,ARG,1980,85.04,11.2,9.48,3.8,1.2,110.72000000000001,27897000,3088755840.0000005,January,January-1980
14735.3645170653,417585495049.1135,Argentina,ARG,1981,84.77,11.01,8.91,3.73,1.28,109.7,28339000,3108788300,January,January-1981
12275.75855522104,353480467597.58984,Argentina,ARG,1982,70.05,11.8,7.93,3.48,1.19,94.45,28795000,2719687750,January,January-1982
11780.908125664158,344732933573.18463,Argentina,ARG,1983,67.08,12.18,7.03,3.47,1.15,90.91,29262000,2660208420,January,January-1983
