dates,Total_Meat_Consumption
1961-01-01,336065540.0
1962-01-01,356194300.0
1963-01-01,363907450.0
1964-01-01,377700390.0
1965-01-01,383019940.0
1966-01-01,383253000.0
1967-01-01,380058940.0
1968-01-01,400310400.0
1969-01-01,405685170.0
1970-01-01,435065470.00000006
1971-01-01,465626000.0
1972-01-01,497379870.00000006
1973-01-01,500526000.0
1974-01-01,533898179.9999998
1975-01-01,542326149.9999999
1976-01-01,574718429.9999999
1977-01-01,577940380.0
1978-01-01,583581299.9999999
1979-01-01,652365299.9999999
1980-01-01,681209760.0
1981-01-01,732049300.0
1982-01-01,766161280.0
1983-01-01,902231344.32
1984-01-01,977214198.4
1985-01-01,1062484080.0
1986-01-01,1146626940.0
1987-01-01,1191618875.52
1988-01-01,1265076480.0
1989-01-01,1350824159.36
1990-01-01,1478515884.8
1991-01-01,1594874879.9999998
1992-01-01,1708434000.0
1993-01-01,1864614348.16
1994-01-01,2007040867.2
1995-01-01,1943738580.0
1996-01-01,2092963386.24
1997-01-01,2105333880.0
1998-01-01,1746605182.0800002
1999-01-01,1660575463.68
2000-01-01,1770372180.0000005
2001-01-01,1863370699.52
2002-01-01,2108372600.0
2003-01-01,2216308459.52
2004-01-01,2351201580.0
2005-01-01,2271941479.68
2006-01-01,2520204819.9999995
2007-01-01,2525905380.0
2008-01-01,2649037500.0
2009-01-01,2756072457.6
2010-01-01,2979394880.0
2011-01-01,3152191760.0000005
2012-01-01,3222422440.0
2013-01-01,3409439591.6800003
2014-01-01,2640574800.0000005
2015-01-01,2728524564.48
2016-01-01,3068051879.9999995
2017-01-01,3093770283.5200005
2018-01-01,3206888471.0228777
2019-01-01,3336091138.1180835
2020-01-01,3470945825.1923504
2021-01-01,3611192294.326179
2022-01-01,3757095551.2175503
2023-01-01,3908893249.5158544
2024-01-01,4066824057.578058
2025-01-01,4231135743.886677
2026-01-01,4402086107.437603
2027-01-01,4579943369.864967
2028-01-01,4764986590.267176
2029-01-01,4957506102.54669
2030-01-01,5157803970.946688
2031-01-01,5366194463.996181
