dates,Entity,Total_Meat_Consumption
1961-01-01,Canada,1433739420.0000002
1962-01-01,Canada,1459120620.0
1963-01-01,Canada,1536277300.0
1964-01-01,Canada,1647432120.0000002
1965-01-01,Canada,1688008000.0
1966-01-01,Canada,1738311520.0000002
1967-01-01,Canada,1862379750.0
1968-01-01,Canada,1891762500.0
1969-01-01,Canada,1920003000.0
1970-01-01,Canada,2021766660.0
1971-01-01,Canada,2097138420.0
1972-01-01,Canada,2118691280.0
1973-01-01,Canada,2106337550.0
1974-01-01,Canada,2177929500.0
1975-01-01,Canada,2204440400.0
1976-01-01,Canada,2348578800.0
1977-01-01,Canada,2321095140.0
1978-01-01,Canada,2302479660.0
1979-01-01,Canada,2299643980.0
1980-01-01,Canada,2387494260.0
1981-01-01,Canada,2406610080.0
1982-01-01,Canada,2370105040.0
1983-01-01,Canada,2407857860.0000005
1984-01-01,Canada,2396155650.0
1985-01-01,Canada,2483105249.9999995
1986-01-01,Canada,2502513720.0
1987-01-01,Canada,2505848400.0000005
1988-01-01,Canada,2579005260.0
1989-01-01,Canada,2551292730.0
1990-01-01,Canada,2532670360.0
1991-01-01,Canada,2537899000.0
1992-01-01,Canada,2616647040.0
1993-01-01,Canada,2609572680.0000005
1994-01-01,Canada,2740063340.0
1995-01-01,Canada,2733541720.0
1996-01-01,Canada,2705717300.0000005
1997-01-01,Canada,2761247280.0
1998-01-01,Canada,2943657100.0000005
1999-01-01,Canada,3092421150.0
2000-01-01,Canada,3097952640.0000005
2001-01-01,Canada,3127526400.0
2002-01-01,Canada,3141183500.0000005
2003-01-01,Canada,3123294720.0
2004-01-01,Canada,3172273650.0
2005-01-01,Canada,3068123959.9999995
2006-01-01,Canada,3107934240.0000005
2007-01-01,Canada,3253253489.9999995
2008-01-01,Canada,3212116300.0
2009-01-01,Canada,3182247800.0
2010-01-01,Canada,3142640439.9999995
2011-01-01,Canada,3173788710.0
2012-01-01,Canada,3229237340.0000005
2013-01-01,Canada,3203555720.0
2014-01-01,Canada,3186578400.0
2015-01-01,Canada,3284941860.0000005
2016-01-01,Canada,3049986890.0
2017-01-01,Canada,3034430520.0000005
2018-01-01,Canada,3069805044.605381
2019-01-01,Canada,3111520847.843565
2020-01-01,Canada,3154481135.487352
2021-01-01,Canada,3198102600.4788666
2022-01-01,Canada,3242324570.2382174
2023-01-01,Canada,3287147062.5451193
2024-01-01,Canada,3332577227.9191275
2025-01-01,Canada,3378623140.146529
2026-01-01,Canada,3425293077.484521
2027-01-01,Canada,3472595440.6144514
2028-01-01,Canada,3520538744.453658
2029-01-01,Canada,3569131618.5502353
2030-01-01,Canada,3618382808.4911585
2031-01-01,Canada,3668301177.44626
