dates,Entity,Total_Meat_Consumption
1961-01-01,India,1700675340.8
1962-01-01,India,1744966410.2399998
1963-01-01,India,1762079621.1199996
1964-01-01,India,1794072160.0
1965-01-01,India,1821798979.2
1966-01-01,India,1849964160.0
1967-01-01,India,1899463620.8
1968-01-01,India,1940026041.6
1969-01-01,India,1971395036.16
1970-01-01,India,2004235957.76
1971-01-01,India,2067039636.48
1972-01-01,India,2086102243.84
1973-01-01,India,2141171942.4000003
1974-01-01,India,2197778858.88
1975-01-01,India,2249401743.36
1976-01-01,India,2295468057.6
1977-01-01,India,2335624305.92
1978-01-01,India,2396325114.88
1979-01-01,India,2472441928.96
1980-01-01,India,2572147128.32
1981-01-01,India,2654078439.0400004
1982-01-01,India,2885021565.44
1983-01-01,India,2937761648.6400003
1984-01-01,India,2982980463.36
1985-01-01,India,3113909200.0
1986-01-01,India,3183840654.7200003
1987-01-01,India,3377089774.08
1988-01-01,India,3441997557.1200004
1989-01-01,India,3506873401.6000004
1990-01-01,India,3597905425.92
1991-01-01,India,3761172161.28
1992-01-01,India,3837275573.76
1993-01-01,India,3922919055.36
1994-01-01,India,3952616293.12
1995-01-01,India,3952084332.8000007
1996-01-01,India,4008049167.36
1997-01-01,India,4023617871.3600006
1998-01-01,India,4139105169.92
1999-01-01,India,4204134835.2
2000-01-01,India,4205172480.000001
2001-01-01,India,4332250257.919999
2002-01-01,India,4449800157.440001
2003-01-01,India,4546128840.96
2004-01-01,India,4721824307.2
2005-01-01,India,4739629233.92
2006-01-01,India,4848421560.32
2007-01-01,India,5146958976.0
2008-01-01,India,5294954488.32
2009-01-01,India,5406703226.879999
2010-01-01,India,5406150604.8
2011-01-01,India,5176192320.0
2012-01-01,India,5202355668.4800005
2013-01-01,India,4726306920.96
2014-01-01,India,4534603584.0
2015-01-01,India,4808257605.120001
2016-01-01,India,4993429059.84
2017-01-01,India,5060199029.76
2018-01-01,India,5154525615.321459
2019-01-01,India,5254513693.454336
2020-01-01,India,5357313523.215496
2021-01-01,India,5462440715.602305
2022-01-01,India,5569777340.672851
2023-01-01,India,5679296179.844831
2024-01-01,India,5791005577.782358
2025-01-01,India,5904931154.358748
2026-01-01,India,6021107614.190488
2027-01-01,India,6139574705.967957
2028-01-01,India,6260375183.975439
2029-01-01,India,6383553778.142201
2030-01-01,India,6509156677.365944
2031-01-01,India,6637231274.74882
