dates,Entity,Total_Meat_Consumption
1961-01-01,Indonesia,336065540.0
1962-01-01,Indonesia,356194300.0
1963-01-01,Indonesia,363907450.0
1964-01-01,Indonesia,377700390.0
1965-01-01,Indonesia,383019940.0
1966-01-01,Indonesia,383253000.0
1967-01-01,Indonesia,380058940.0
1968-01-01,Indonesia,400310400.0
1969-01-01,Indonesia,405685170.0
1970-01-01,Indonesia,435065470.00000006
1971-01-01,Indonesia,465626000.0
1972-01-01,Indonesia,497379870.00000006
1973-01-01,Indonesia,500526000.0
1974-01-01,Indonesia,533898179.9999998
1975-01-01,Indonesia,542326149.9999999
1976-01-01,Indonesia,574718429.9999999
1977-01-01,Indonesia,577940380.0
1978-01-01,Indonesia,583581299.9999999
1979-01-01,Indonesia,652365299.9999999
1980-01-01,Indonesia,681209760.0
1981-01-01,Indonesia,732049300.0
1982-01-01,Indonesia,766161280.0
1983-01-01,Indonesia,902231344.32
1984-01-01,Indonesia,977214198.4
1985-01-01,Indonesia,1062484080.0
1986-01-01,Indonesia,1146626940.0
1987-01-01,Indonesia,1191618875.52
1988-01-01,Indonesia,1265076480.0
1989-01-01,Indonesia,1350824159.36
1990-01-01,Indonesia,1478515884.8
1991-01-01,Indonesia,1594874879.9999998
1992-01-01,Indonesia,1708434000.0
1993-01-01,Indonesia,1864614348.16
1994-01-01,Indonesia,2007040867.2
1995-01-01,Indonesia,1943738580.0
1996-01-01,Indonesia,2092963386.24
1997-01-01,Indonesia,2105333880.0
1998-01-01,Indonesia,1746605182.0800002
1999-01-01,Indonesia,1660575463.68
2000-01-01,Indonesia,1770372180.0000005
2001-01-01,Indonesia,1863370699.52
2002-01-01,Indonesia,2108372600.0
2003-01-01,Indonesia,2216308459.52
2004-01-01,Indonesia,2351201580.0
2005-01-01,Indonesia,2271941479.68
2006-01-01,Indonesia,2520204819.9999995
2007-01-01,Indonesia,2525905380.0
2008-01-01,Indonesia,2649037500.0
2009-01-01,Indonesia,2756072457.6
2010-01-01,Indonesia,2979394880.0
2011-01-01,Indonesia,3152191760.0000005
2012-01-01,Indonesia,3222422440.0
2013-01-01,Indonesia,3409439591.6800003
2014-01-01,Indonesia,2640574800.0000005
2015-01-01,Indonesia,2728524564.48
2016-01-01,Indonesia,3068051879.9999995
2017-01-01,Indonesia,3093770283.5200005
2018-01-01,Indonesia,3196835142.1458464
2019-01-01,Indonesia,3341994628.7436957
2020-01-01,Indonesia,3463050010.193456
2021-01-01,Indonesia,3616709892.4388647
2022-01-01,Indonesia,3751229225.672508
2023-01-01,Indonesia,3914455182.9674864
2024-01-01,Indonesia,4062991271.206042
2025-01-01,Indonesia,4237078475.5903597
2026-01-01,Indonesia,4400328738.208198
2027-01-01,Indonesia,4586599299.575279
2028-01-01,Indonesia,4765392955.04479
2029-01-01,Indonesia,4965210588.930266
2030-01-01,Indonesia,5160507665.90352
2031-01-01,Indonesia,5375291983.492838
