dates,Entity,Total_Meat_Consumption
1961-01-01,Iran,319890400.0
1962-01-01,Iran,333837370.0
1963-01-01,Iran,314707200.0
1964-01-01,Iran,316976320.0
1965-01-01,Iran,319174450.0
1966-01-01,Iran,322606160.0
1967-01-01,Iran,348713499.99999994
1968-01-01,Iran,364945500.0
1969-01-01,Iran,387044100.0
1970-01-01,Iran,411742160.00000006
1971-01-01,Iran,426638740.0
1972-01-01,Iran,451125000.0
1973-01-01,Iran,461735640.0
1974-01-01,Iran,488868680.0
1975-01-01,Iran,536772000.00000006
1976-01-01,Iran,593043720.0000001
1977-01-01,Iran,676570320.0
1978-01-01,Iran,726771810.0
1979-01-01,Iran,724259650.0
1980-01-01,Iran,810104000.0
1981-01-01,Iran,877968000.0
1982-01-01,Iran,911906820.0
1983-01-01,Iran,957832150.0
1984-01-01,Iran,933105960.0
1985-01-01,Iran,907168520.0
1986-01-01,Iran,995052000.0
1987-01-01,Iran,980365100.0
1988-01-01,Iran,988293740.0
1989-01-01,Iran,1053130620.0
1990-01-01,Iran,1110973860.0
1991-01-01,Iran,1162808640.0
1992-01-01,Iran,1299037999.9999998
1993-01-01,Iran,1389777480.0
1994-01-01,Iran,1380262979.9999998
1995-01-01,Iran,1394141670.0
1996-01-01,Iran,1508784900.0
1997-01-01,Iran,1559459200.0
1998-01-01,Iran,1598660280.0000002
1999-01-01,Iran,1504031210.0
2000-01-01,Iran,1566421010.0
2001-01-01,Iran,1672521330.0
2002-01-01,Iran,1709711849.9999998
2003-01-01,Iran,1895181860.0
2004-01-01,Iran,2005784590.0
2005-01-01,Iran,2063559960.0
2006-01-01,Iran,2155455250.0
2007-01-01,Iran,2304152800.0000005
2008-01-01,Iran,2232866160.0000005
2009-01-01,Iran,2626758499.9999995
2010-01-01,Iran,2570640549.9999995
2011-01-01,Iran,2639839950.0000005
2012-01-01,Iran,2495086200.0
2013-01-01,Iran,2514728159.9999995
2014-01-01,Iran,2587364400.0
2015-01-01,Iran,2560409040.0
2016-01-01,Iran,2762462080.0
2017-01-01,Iran,2902650519.9999995
2018-01-01,Iran,3026606384.7361264
2019-01-01,Iran,3152934147.9870267
2020-01-01,Iran,3281191682.5432334
2021-01-01,Iran,3413488392.829136
2022-01-01,Iran,3550446463.5682397
2023-01-01,Iran,3692596844.3652534
2024-01-01,Iran,3840286394.807976
2025-01-01,Iran,3993810429.8883777
2026-01-01,Iran,4153436491.834065
2027-01-01,Iran,4319425431.475627
2028-01-01,Iran,4492039681.904815
2029-01-01,Iran,4671547972.295433
2030-01-01,Iran,4858227716.935595
2031-01-01,Iran,5052366425.349788
