dates,Entity,Total_Meat_Consumption
1961-01-01,Japan,722446040.0
1962-01-01,Japan,917360990.0
1963-01-01,Japan,937864970.0
1964-01-01,Japan,1063378680.0
1965-01-01,Japan,1132140500.0
1966-01-01,Japan,1310683359.9999998
1967-01-01,Japan,1386302500.0
1968-01-01,Japan,1434842200.0
1969-01-01,Japan,1632131920.0000002
1970-01-01,Japan,1841503950.0
1971-01-01,Japan,2084904929.9999995
1972-01-01,Japan,2323643520.0
1973-01-01,Japan,2541072800.0
1974-01-01,Japan,2549088079.9999995
1975-01-01,Japan,2625967680.0000005
1976-01-01,Japan,2769220440.0
1977-01-01,Japan,2997010800.0
1978-01-01,Japan,3268946589.9999995
1979-01-01,Japan,3555094140.0
1980-01-01,Japan,3555717060.0
1981-01-01,Japan,3633229800.0
1982-01-01,Japan,3691010300.0
1983-01-01,Japan,3798299120.0
1984-01-01,Japan,3928947380.0
1985-01-01,Japan,4112332420.0
1986-01-01,Japan,4270663739.999999
1987-01-01,Japan,4493395230.0
1988-01-01,Japan,4688814900.000001
1989-01-01,Japan,4811008020.0
1990-01-01,Japan,4772276650.000001
1991-01-01,Japan,4806057100.0
1992-01-01,Japan,4990680420.0
1993-01-01,Japan,5044621910.0
1994-01-01,Japan,5121533390.0
1995-01-01,Japan,5567641900.0
1996-01-01,Japan,5612862080.0
1997-01-01,Japan,5365036039.999999
1998-01-01,Japan,5384676120.0
1999-01-01,Japan,5622716160.0
2000-01-01,Japan,5771736240.0
2001-01-01,Japan,5717755780.0
2002-01-01,Japan,5712980310.0
2003-01-01,Japan,5762609999.999999
2004-01-01,Japan,5679437200.0
2005-01-01,Japan,5994107460.0
2006-01-01,Japan,5883057630.0
2007-01-01,Japan,5932567980.0
2008-01-01,Japan,5974492720.0
2009-01-01,Japan,5885247900.0
2010-01-01,Japan,6125026300.000001
2011-01-01,Japan,6268181220.0
2012-01-01,Japan,6392946720.0
2013-01-01,Japan,6345127299.999999
2014-01-01,Japan,6020097930.0
2015-01-01,Japan,5905227900.0
2016-01-01,Japan,6034246490.000001
2017-01-01,Japan,6289722990.0
2018-01-01,Japan,6537892410.560215
2019-01-01,Japan,6820823671.10499
2020-01-01,Japan,7107083588.199209
2021-01-01,Japan,7418255317.74272
2022-01-01,Japan,7738669855.03813
2023-01-01,Japan,8079597505.5929165
2024-01-01,Japan,8433396950.215914
2025-01-01,Japan,8806146333.996758
2026-01-01,Japan,9194321754.69695
2027-01-01,Japan,9601400974.620014
2028-01-01,Japan,10025993386.588686
2029-01-01,Japan,10470292849.761992
2030-01-01,Japan,10934034484.613638
2031-01-01,Japan,11418799388.80822
