dates,Entity,Total_Meat_Consumption
1961-01-01,Myanmar,105729120.0
1962-01-01,Myanmar,106453620.0
1963-01-01,Myanmar,116221980.0
1964-01-01,Myanmar,124756680.0
1965-01-01,Myanmar,132211550.0
1966-01-01,Myanmar,143482720.0
1967-01-01,Myanmar,161099400.00000003
1968-01-01,Myanmar,160252400.0
1969-01-01,Myanmar,175797600.0
1970-01-01,Myanmar,188156100.0
1971-01-01,Myanmar,190931760.0
1972-01-01,Myanmar,188276300.0
1973-01-01,Myanmar,191216520.0
1974-01-01,Myanmar,184294880.0
1975-01-01,Myanmar,193767630.0
1976-01-01,Myanmar,205106700.0
1977-01-01,Myanmar,207214690.0
1978-01-01,Myanmar,215815910.0
1979-01-01,Myanmar,230349280.0
1980-01-01,Myanmar,240594720.0
1981-01-01,Myanmar,258122880.00000003
1982-01-01,Myanmar,272650420.0
1983-01-01,Myanmar,280623480.0
1984-01-01,Myanmar,289742760.0
1985-01-01,Myanmar,298878990.0
1986-01-01,Myanmar,300683460.0
1987-01-01,Myanmar,312473719.99999994
1988-01-01,Myanmar,322692300.0
1989-01-01,Myanmar,259863780.0
1990-01-01,Myanmar,198821350.00000003
1991-01-01,Myanmar,204842100.00000003
1992-01-01,Myanmar,217522260.0
1993-01-01,Myanmar,227745900.00000003
1994-01-01,Myanmar,267673110.0
1995-01-01,Myanmar,293265360.0
1996-01-01,Myanmar,319609880.0
1997-01-01,Myanmar,338152770.0
1998-01-01,Myanmar,348924150.00000006
1999-01-01,Myanmar,374527910.0
2000-01-01,Myanmar,448512000.0
2001-01-01,Myanmar,502946250.0
2002-01-01,Myanmar,612493680.0
2003-01-01,Myanmar,741976090.0
2004-01-01,Myanmar,873666360.0000001
2005-01-01,Myanmar,1049977500.0
2006-01-01,Myanmar,1201958380.0
2007-01-01,Myanmar,1335301110.0
2008-01-01,Myanmar,1472435700.0
2009-01-01,Myanmar,1684882499.9999998
2010-01-01,Myanmar,1910187750.0000005
2011-01-01,Myanmar,2016694050.0
2012-01-01,Myanmar,2020570200.0
2013-01-01,Myanmar,2023783560.0000005
2014-01-01,Myanmar,2711815470.0
2015-01-01,Myanmar,2914312920.0
2016-01-01,Myanmar,2989085749.9999995
2017-01-01,Myanmar,3109025919.9999995
2018-01-01,Myanmar,3239441169.6618953
2019-01-01,Myanmar,3427006217.270901
2020-01-01,Myanmar,3624056095.864762
2021-01-01,Myanmar,3843124090.1942787
2022-01-01,Myanmar,4074631416.4168863
2023-01-01,Myanmar,4322315546.317586
2024-01-01,Myanmar,4584782333.657955
2025-01-01,Myanmar,4863657697.949255
2026-01-01,Myanmar,5159417070.771404
2027-01-01,Myanmar,5473261905.777587
2028-01-01,Myanmar,5806176699.222762
2029-01-01,Myanmar,6159362844.036051
2030-01-01,Myanmar,6534027713.256833
2031-01-01,Myanmar,6931487575.014274
