dates,Entity,Total_Meat_Consumption
1961-01-01,Argentina,2123958510.0
1962-01-01,Argentina,2179605120.0
1963-01-01,Argentina,2209498980.0
1964-01-01,Argentina,1812919680.0
1965-01-01,Argentina,1987530400.0
1966-01-01,Argentina,2236128540.0
1967-01-01,Argentina,2329471159.9999995
1968-01-01,Argentina,2462295040.0
1969-01-01,Argentina,2639660320.0
1970-01-01,Argentina,2513475249.9999995
1971-01-01,Argentina,2155015800.0
1972-01-01,Argentina,2039789220.0
1973-01-01,Argentina,2183630400.0
1974-01-01,Argentina,2493493660.0
1975-01-01,Argentina,2816290080.0
1976-01-01,Argentina,2889150000.0
1977-01-01,Argentina,2910048150.0
1978-01-01,Argentina,3027314070.0000005
1979-01-01,Argentina,3000932040.0
1980-01-01,Argentina,3088755840.0000005
1981-01-01,Argentina,3108788300.0
1982-01-01,Argentina,2719687750.0
1983-01-01,Argentina,2660208420.0
1984-01-01,Argentina,2859509919.9999995
1985-01-01,Argentina,3163917360.0
1986-01-01,Argentina,2944955070.0
1987-01-01,Argentina,3029213760.0
1988-01-01,Argentina,2831208600.0000005
1989-01-01,Argentina,2750261400.0
1990-01-01,Argentina,2731841249.9999995
1991-01-01,Argentina,2878865370.0
1992-01-01,Argentina,3029680440.0
1993-01-01,Argentina,3348422900.0000005
1994-01-01,Argentina,3342939510.0
1995-01-01,Argentina,3165168640.0000005
1996-01-01,Argentina,3093893880.0000005
1997-01-01,Argentina,3180960970.0
1998-01-01,Argentina,3362874750.0
1999-01-01,Argentina,3641959290.0
2000-01-01,Argentina,3641379960.0
2001-01-01,Argentina,3510653680.0000005
2002-01-01,Argentina,3002124940.0
2003-01-01,Argentina,3178443599.9999995
2004-01-01,Argentina,3358811920.0
2005-01-01,Argentina,3492202470.0000005
2006-01-01,Argentina,3685009100.000001
2007-01-01,Argentina,3767598960.0
2008-01-01,Argentina,3900585600.0
2009-01-01,Argentina,4034130950.0
2010-01-01,Argentina,4117818240.0
2011-01-01,Argentina,4352648800.0
2012-01-01,Argentina,4437303850.0
2013-01-01,Argentina,4525521000.0
2014-01-01,Argentina,4411753860.0
2015-01-01,Argentina,4692590499.999999
2016-01-01,Argentina,4706695440.0
2017-01-01,Argentina,4805829060.0
2018-01-01,Argentina,4727278651.628162
2019-01-01,Argentina,4640152519.877966
2020-01-01,Argentina,4611784893.235977
2021-01-01,Argentina,4643508562.143085
2022-01-01,Argentina,4712095279.250282
2023-01-01,Argentina,4793922138.335111
2024-01-01,Argentina,4874483209.432987
2025-01-01,Argentina,4948809528.87019
2026-01-01,Argentina,5017844541.016316
2027-01-01,Argentina,5084532166.171823
2028-01-01,Argentina,5151404217.6185665
2029-01-01,Argentina,5219785775.424226
2030-01-01,Argentina,5289978399.166529
2031-01-01,Argentina,5361755724.577612
