dates,Entity,Total_Meat_Consumption
1961-01-01,Australia,1096307700.0
1962-01-01,Australia,1196486060.0
1963-01-01,Australia,1220713200.0
1964-01-01,Australia,1259639599.9999998
1965-01-01,Australia,1245561300.0
1966-01-01,Australia,1227003120.0
1967-01-01,Australia,1207017000.0
1968-01-01,Australia,1274373120.0
1969-01-01,Australia,1363694670.0
1970-01-01,Australia,1343137070.0
1971-01-01,Australia,1457480390.0
1972-01-01,Australia,1540012320.0
1973-01-01,Australia,1487593999.9999998
1974-01-01,Australia,1289304559.9999998
1975-01-01,Australia,1723415490.0000002
1976-01-01,Australia,1808335360.0
1977-01-01,Australia,1774872419.9999995
1978-01-01,Australia,1853937390.0
1979-01-01,Australia,1635443110.0
1980-01-01,Australia,1614308080.0
1981-01-01,Australia,1618968120.0000002
1982-01-01,Australia,1687084770.0000002
1983-01-01,Australia,1630727400.0
1984-01-01,Australia,1653191370.0
1985-01-01,Australia,1757187520.0
1986-01-01,Australia,1782656820.0
1987-01-01,Australia,1814276130.0
1988-01-01,Australia,1817287920.0
1989-01-01,Australia,1869795180.0
1990-01-01,Australia,1954755250.0
1991-01-01,Australia,1927230680.0
1992-01-01,Australia,1951460280.0
1993-01-01,Australia,1950588430.0
1994-01-01,Australia,1987970310.0
1995-01-01,Australia,1957098610.0
1996-01-01,Australia,1957682070.0
1997-01-01,Australia,1946999430.0
1998-01-01,Australia,2057766770.0
1999-01-01,Australia,2073631560.0
2000-01-01,Australia,2109140460.0
2001-01-01,Australia,2110682200.0
2002-01-01,Australia,2148078720.0000005
2003-01-01,Australia,2313277120.0
2004-01-01,Australia,2141871200.0
2005-01-01,Australia,2366593120.0
2006-01-01,Australia,2294806800.0
2007-01-01,Australia,2553843600.0000005
2008-01-01,Australia,2397290160.0
2009-01-01,Australia,2442202279.9999995
2010-01-01,Australia,2480252250.0
2011-01-01,Australia,2729577180.0
2012-01-01,Australia,2687326320.0
2013-01-01,Australia,2702696100.0
2014-01-01,Australia,2819014120.0
2015-01-01,Australia,2949619000.0
2016-01-01,Australia,2985319520.0
2017-01-01,Australia,2989536000.0
2018-01-01,Australia,2996801350.7209854
2019-01-01,Australia,3020461314.454909
2020-01-01,Australia,3052585405.9553
2021-01-01,Australia,3090869335.418079
2022-01-01,Australia,3133372917.9806666
2023-01-01,Australia,3178921584.7189665
2024-01-01,Australia,3226742609.0909004
2025-01-01,Australia,3276338647.1120033
2026-01-01,Australia,3327388894.9381065
2027-01-01,Australia,3379688178.9889817
2028-01-01,Australia,3433106876.416242
2029-01-01,Australia,3487564877.2284136
2030-01-01,Australia,3543014563.551004
2031-01-01,Australia,3599429680.500014
