dates,Entity,Total_Meat_Consumption
1961-01-01,Spain,668992100.0
1962-01-01,Spain,737409750.0
1963-01-01,Spain,928530820.0
1964-01-01,Spain,958210880.0
1965-01-01,Spain,965665840.0
1966-01-01,Spain,1167112640.0
1967-01-01,Spain,1276430400.0
1968-01-01,Spain,1305531840.0
1969-01-01,Spain,1375243540.0
1970-01-01,Spain,1563746600.0
1971-01-01,Spain,1577310010.0
1972-01-01,Spain,1684670399.9999998
1973-01-01,Spain,1842525260.0
1974-01-01,Spain,1966079920.0
1975-01-01,Spain,1972627420.0
1976-01-01,Spain,2173717840.0
1977-01-01,Spain,2225686900.0
1978-01-01,Spain,2373893600.0
1979-01-01,Spain,2458195250.0
1980-01-01,Spain,2653185240.0000005
1981-01-01,Spain,2871062919.9999995
1982-01-01,Spain,2999102900.0000005
1983-01-01,Spain,2937442110.0
1984-01-01,Spain,3012101220.0
1985-01-01,Spain,3011181160.0000005
1986-01-01,Spain,3068069760.0000005
1987-01-01,Spain,3221106260.0
1988-01-01,Spain,3498284790.0
1989-01-01,Spain,3510147870.0000005
1990-01-01,Spain,3655287720.0
1991-01-01,Spain,3798248350.0
1992-01-01,Spain,3820502340.0
1993-01-01,Spain,3943121160.0
1994-01-01,Spain,3976311600.0
1995-01-01,Spain,4030820970.0
1996-01-01,Spain,4106636100.0
1997-01-01,Spain,4142421450.0
1998-01-01,Spain,4695191580.0
1999-01-01,Spain,4640478340.0
2000-01-01,Spain,4623431250.0
2001-01-01,Spain,4756230090.0
2002-01-01,Spain,5014051199.999999
2003-01-01,Spain,5042940440.0
2004-01-01,Spain,4694587200.0
2005-01-01,Spain,4756693139.999999
2006-01-01,Spain,4794501510.0
2007-01-01,Spain,5033987490.0
2008-01-01,Spain,4721611810.0
2009-01-01,Spain,4585263120.0
2010-01-01,Spain,4535411840.000001
2011-01-01,Spain,4508763840.0
2012-01-01,Spain,4502517209.999999
2013-01-01,Spain,4413860550.0
2014-01-01,Spain,4422392120.0
2015-01-01,Spain,4501047679.999999
2016-01-01,Spain,4567333960.000001
2017-01-01,Spain,4676361750.0
2018-01-01,Spain,4834833269.705604
2019-01-01,Spain,5005692035.099292
2020-01-01,Spain,5182442709.203434
2021-01-01,Spain,5365709464.343978
2022-01-01,Spain,5555383721.459227
2023-01-01,Spain,5751790430.336288
2024-01-01,Spain,5955131605.381772
2025-01-01,Spain,6165664699.41812
2026-01-01,Spain,6383639686.92915
2027-01-01,Spain,6609321144.739557
2028-01-01,Spain,6842981006.010468
2029-01-01,Spain,7084901510.239891
2030-01-01,Spain,7335374634.815199
2031-01-01,Spain,7594702762.6920805
