dates,Entity,Total_Meat_Consumption
1961-01-01,Turkey,476247240.00000006
1962-01-01,Turkey,474302850.0
1963-01-01,Turkey,476039720.0
1964-01-01,Turkey,464547840.0
1965-01-01,Turkey,479462040.0
1966-01-01,Turkey,501461580.0
1967-01-01,Turkey,491392140.0
1968-01-01,Turkey,505823760.0
1969-01-01,Turkey,556799250.0
1970-01-01,Turkey,569525080.0
1971-01-01,Turkey,575108099.9999999
1972-01-01,Turkey,570757200.0
1973-01-01,Turkey,589059840.0
1974-01-01,Turkey,646534499.9999999
1975-01-01,Turkey,723482339.9999999
1976-01-01,Turkey,708549700.0
1977-01-01,Turkey,724734040.0
1978-01-01,Turkey,732336800.0000001
1979-01-01,Turkey,659957900.0000001
1980-01-01,Turkey,680748480.0
1981-01-01,Turkey,759847320.0
1982-01-01,Turkey,759412500.0000001
1983-01-01,Turkey,732926610.0
1984-01-01,Turkey,996440940.0
1985-01-01,Turkey,998402880.0
1986-01-01,Turkey,1154972160.0000002
1987-01-01,Turkey,1073632010.0
1988-01-01,Turkey,1084805360.0
1989-01-01,Turkey,1139857920.0
1990-01-01,Turkey,1161479880.0
1991-01-01,Turkey,1152757820.0
1992-01-01,Turkey,1139509560.0
1993-01-01,Turkey,1154041980.0
1994-01-01,Turkey,1176032520.0
1995-01-01,Turkey,1217093660.0
1996-01-01,Turkey,1117746630.0000002
1997-01-01,Turkey,1240061420.0000002
1998-01-01,Turkey,1235799500.0
1999-01-01,Turkey,1330450320.0000002
2000-01-01,Turkey,1393809600.0000002
2001-01-01,Turkey,1297962240.0
2002-01-01,Turkey,1355016000.0
2003-01-01,Turkey,1469158470.0
2004-01-01,Turkey,1554655199.9999998
2005-01-01,Turkey,1550225490.0
2006-01-01,Turkey,1555283339.9999998
2007-01-01,Turkey,1789649040.0
2008-01-01,Turkey,1714702649.9999998
2009-01-01,Turkey,1821538340.0
2010-01-01,Turkey,2270344530.0000005
2011-01-01,Turkey,2454465060.0
2012-01-01,Turkey,2600840839.9999995
2013-01-01,Turkey,2667245250.0
2014-01-01,Turkey,2787194610.0000005
2015-01-01,Turkey,2907928870.0000005
2016-01-01,Turkey,3004725920.0000005
2017-01-01,Turkey,3152167760.0
2018-01-01,Turkey,3194008272.2765217
2019-01-01,Turkey,3255835639.8110895
2020-01-01,Turkey,3323137179.799444
2021-01-01,Turkey,3397158729.6125026
2022-01-01,Turkey,3477472548.511685
2023-01-01,Turkey,3563898039.513399
2024-01-01,Turkey,3656278975.966891
2025-01-01,Turkey,3754500882.1349344
2026-01-01,Turkey,3858483094.011483
2027-01-01,Turkey,3968174768.915866
2028-01-01,Turkey,4083551349.396763
2029-01-01,Turkey,4204611693.3032575
2030-01-01,Turkey,4331375707.210255
2031-01-01,Turkey,4463882392.268881
