dates,Entity,Total_Meat_Consumption
1961-01-01,China,2234273569.92
1962-01-01,China,2707948814.72
1963-01-01,China,4318788629.76
1964-01-01,China,5531471362.56
1965-01-01,China,6271736609.280003
1966-01-01,China,6793097030.400001
1967-01-01,China,7214016184.320002
1968-01-01,China,7142923322.880002
1969-01-01,China,7012078060.799999
1970-01-01,China,6951848601.6
1971-01-01,China,7918930800.0
1972-01-01,China,8738334460.800003
1973-01-01,China,8814796270.72
1974-01-01,China,8930201120.000002
1975-01-01,China,9197573368.320002
1976-01-01,China,9144044422.400002
1977-01-01,China,9214911496.96
1978-01-01,China,10033155517.44
1979-01-01,China,12139284526.080002
1980-01-01,China,13611211616.64
1981-01-01,China,14226728884.48
1982-01-01,China,15151968142.08
1983-01-01,China,15699010498.56
1984-01-01,China,17110641757.440002
1985-01-01,China,19360601856.0
1986-01-01,China,20454861818.88
1987-01-01,China,22321899520.0
1988-01-01,China,24734120455.680004
1989-01-01,China,26097783029.76
1990-01-01,China,27903918881.280003
1991-01-01,China,30323442350.08
1992-01-01,China,33256956262.4
1993-01-01,China,36137924761.600006
1994-01-01,China,39385239375.36
1995-01-01,China,42600816556.8
1996-01-01,China,43269055413.76001
1997-01-01,China,46794812866.560005
1998-01-01,China,50764799704.319984
1999-01-01,China,53067536481.28
2000-01-01,China,56797151270.4
2001-01-01,China,56849928099.84
2002-01-01,China,58307902054.4
2003-01-01,China,61332622535.68
2004-01-01,China,61840995517.44
2005-01-01,China,64476100300.8
2006-01-01,China,66866911641.6
2007-01-01,China,69237930536.95999
2008-01-01,China,72700192279.04001
2009-01-01,China,75395152239.36
2010-01-01,China,77816905804.79999
2011-01-01,China,78253914028.8
2012-01-01,China,82526358858.24
2013-01-01,China,84988376468.48
2014-01-01,China,85128783900.16
2015-01-01,China,85381605120.0
2016-01-01,China,86030742620.15999
2017-01-01,China,86099720071.68001
2018-01-01,China,88623455128.6357
2019-01-01,China,93643257790.2357
2020-01-01,China,99600694741.61987
2021-01-01,China,106088221806.47946
2022-01-01,China,113031982544.42393
2023-01-01,China,120437659025.1651
2024-01-01,China,128330178085.3649
2025-01-01,China,136740268952.22578
2026-01-01,China,145701592326.2187
2027-01-01,China,155250216658.37915
2028-01-01,China,165424618521.79523
2029-01-01,China,176265805822.00168
2030-01-01,China,187817476081.96332
2031-01-01,China,200126191035.40665
