dates,Entity,Total_Meat_Consumption
1961-01-01,Germany,4719563520.000001
1962-01-01,Germany,4855193020.000001
1963-01-01,Germany,4842724500.0
1964-01-01,Germany,4994682000.000001
1965-01-01,Germany,5141314360.0
1966-01-01,Germany,5203018600.0
1967-01-01,Germany,5373217219.999999
1968-01-01,Germany,5719419090.0
1969-01-01,Germany,5790531390.000001
1970-01-01,Germany,6074079400.000001
1971-01-01,Germany,6333140200.000001
1972-01-01,Germany,6467596940.000001
1973-01-01,Germany,6466109440.0
1974-01-01,Germany,6704982700.0
1975-01-01,Germany,6817101199.999999
1976-01-01,Germany,6786281480.000001
1977-01-01,Germany,6855211440.0
1978-01-01,Germany,7168306019.999998
1979-01-01,Germany,7255514999.999998
1980-01-01,Germany,7433753680.000002
1981-01-01,Germany,7446816719.999998
1982-01-01,Germany,7270495800.0
1983-01-01,Germany,7354708900.000002
1984-01-01,Germany,7338618539.999998
1985-01-01,Germany,7465424280.0
1986-01-01,Germany,7523062140.0
1987-01-01,Germany,7658830720.0
1988-01-01,Germany,7671834760.0
1989-01-01,Germany,7420784400.0
1990-01-01,Germany,7454001659.999998
1991-01-01,Germany,6973745430.0
1992-01-01,Germany,6955181739.999999
1993-01-01,Germany,6768100350.0
1994-01-01,Germany,6776230390.0
1995-01-01,Germany,6607148769.999999
1996-01-01,Germany,6897088440.0
1997-01-01,Germany,6639716429.999999
1998-01-01,Germany,6972980980.0
1999-01-01,Germany,6748858800.0
2000-01-01,Germany,6735118740.000001
2001-01-01,Germany,6625468360.0
2002-01-01,Germany,6582320549.999999
2003-01-01,Germany,6782939540.0
2004-01-01,Germany,6748041900.0
2005-01-01,Germany,6692262030.0
2006-01-01,Germany,6715736960.000001
2007-01-01,Germany,6993971900.000001
2008-01-01,Germany,6948166859.999999
2009-01-01,Germany,6954163999.999999
2010-01-01,Germany,7075595579.999998
2011-01-01,Germany,7108859519.999998
2012-01-01,Germany,6996876930.0
2013-01-01,Germany,6975281820.000001
2014-01-01,Germany,7179817500.0
2015-01-01,Germany,7187441560.0
2016-01-01,Germany,7276634820.000002
2017-01-01,Germany,7255719239.999998
2018-01-01,Germany,7331866096.321806
2019-01-01,Germany,7365255590.334212
2020-01-01,Germany,7422554729.4402
2021-01-01,Germany,7471349772.169209
2022-01-01,Germany,7526894820.4289465
2023-01-01,Germany,7581585760.368001
2024-01-01,Germany,7638846889.445392
2025-01-01,Germany,7696835279.902743
2026-01-01,Germany,7756270161.338743
2027-01-01,Germany,7816663822.127306
2028-01-01,Germany,7878130491.079663
2029-01-01,Germany,7940513214.267226
2030-01-01,Germany,8003801157.098344
2031-01-01,Germany,8067926599.211411
