dates,Entity,Total_Meat_Consumption
1961-01-01,Italy,1551111480.0
1962-01-01,Italy,1720576620.0000002
1963-01-01,Italy,1890317520.0
1964-01-01,Italy,2019130740.0
1965-01-01,Italy,2120824080.0
1966-01-01,Italy,2337628700.0000005
1967-01-01,Italy,2506297400.0
1968-01-01,Italy,2595930150.0
1969-01-01,Italy,2686453699.9999995
1970-01-01,Italy,2915179930.0000005
1971-01-01,Italy,3063589649.9999995
1972-01-01,Italy,3141053510.0
1973-01-01,Italy,3416418450.0
1974-01-01,Italy,3428280040.0
1975-01-01,Italy,3439693599.9999995
1976-01-01,Italy,3577202580.0
1977-01-01,Italy,3697523620.000001
1978-01-01,Italy,3894034950.0
1979-01-01,Italy,4051557360.0
1980-01-01,Italy,4254912990.0
1981-01-01,Italy,4258216800.000001
1982-01-01,Italy,4263669150.0
1983-01-01,Italy,4465702549.999999
1984-01-01,Italy,4488765220.0
1985-01-01,Italy,4469554500.0
1986-01-01,Italy,4518831200.0
1987-01-01,Italy,4689478079.999999
1988-01-01,Italy,4745608139.999999
1989-01-01,Italy,4812107020.000001
1990-01-01,Italy,4880456400.0
1991-01-01,Italy,4934115840.0
1992-01-01,Italy,4943613949.999999
1993-01-01,Italy,5024844300.0
1994-01-01,Italy,5001647880.0
1995-01-01,Italy,4805474700.000001
1996-01-01,Italy,4990904900.0
1997-01-01,Italy,4867568160.0
1998-01-01,Italy,5012676620.0
1999-01-01,Italy,5012922879.999999
2000-01-01,Italy,5026312720.000001
2001-01-01,Italy,5126143750.000001
2002-01-01,Italy,5104154580.000001
2003-01-01,Italy,4969586450.0
2004-01-01,Italy,4962087240.0
2005-01-01,Italy,4927658550.0
2006-01-01,Italy,4977325860.000001
2007-01-01,Italy,5153962040.0
2008-01-01,Italy,5066113560.0
2009-01-01,Italy,5180049839.999999
2010-01-01,Italy,5307807750.0
2011-01-01,Italy,5162790960.0
2012-01-01,Italy,5180731080.0
2013-01-01,Italy,5056434680.0
2014-01-01,Italy,4751850600.0
2015-01-01,Italy,4705699040.0
2016-01-01,Italy,4651638840.0
2017-01-01,Italy,4911560300.0
2018-01-01,Italy,5106655601.066324
2019-01-01,Italy,5267743866.352776
2020-01-01,Italy,5411986980.668312
2021-01-01,Italy,5548677649.684586
2022-01-01,Italy,5682789122.672401
2023-01-01,Italy,5816978739.889541
2024-01-01,Italy,5952676843.936736
2025-01-01,Italy,6090667864.642507
2026-01-01,Italy,6231397600.430019
2027-01-01,Italy,6375134972.143744
2028-01-01,Italy,6522056980.22943
2029-01-01,Italy,6672293282.064421
2030-01-01,Italy,6825949576.775637
2031-01-01,Italy,6983119878.289781
