dates,Entity,Total_Meat_Consumption
1961-01-01,Mexico,946094480.0
1962-01-01,Mexico,1020551050.0
1963-01-01,Mexico,1039037720.0
1964-01-01,Mexico,1082106299.9999998
1965-01-01,Mexico,1109277360.0
1966-01-01,Mexico,1119336800.0
1967-01-01,Mexico,1156995840.0
1968-01-01,Mexico,1160915040.0
1969-01-01,Mexico,1185194850.0
1970-01-01,Mexico,1202899840.0
1971-01-01,Mexico,1231893959.9999998
1972-01-01,Mexico,1316935200.0
1973-01-01,Mexico,1396271960.0
1974-01-01,Mexico,1526271110.0
1975-01-01,Mexico,1719690799.9999998
1976-01-01,Mexico,1922998800.0
1977-01-01,Mexico,2088541400.0
1978-01-01,Mexico,2166387050.0
1979-01-01,Mexico,2220443920.0
1980-01-01,Mexico,2444139270.0
1981-01-01,Mexico,2657632320.0000005
1982-01-01,Mexico,2769169230.0
1983-01-01,Mexico,2981796090.0
1984-01-01,Mexico,2964454110.0
1985-01-01,Mexico,2912428389.9999995
1986-01-01,Mexico,3010065210.0
1987-01-01,Mexico,2991383999.9999995
1988-01-01,Mexico,3043321630.0
1989-01-01,Mexico,2796427550.0
1990-01-01,Mexico,2913661530.0
1991-01-01,Mexico,3297381280.0
1992-01-01,Mexico,3468197250.0
1993-01-01,Mexico,3632738750.0
1994-01-01,Mexico,3948832800.0
1995-01-01,Mexico,3965341380.0
1996-01-01,Mexico,3874915200.0
1997-01-01,Mexico,4241411130.000001
1998-01-01,Mexico,4667361040.0
1999-01-01,Mexico,4911294299.999999
2000-01-01,Mexico,5245656000.0
2001-01-01,Mexico,5495327420.000001
2002-01-01,Mexico,5745202500.0
2003-01-01,Mexico,5771505190.0
2004-01-01,Mexico,5959445300.0
2005-01-01,Mexico,6221433450.000001
2006-01-01,Mexico,6412727200.000001
2007-01-01,Mexico,6542618029.999999
2008-01-01,Mexico,6750849800.0
2009-01-01,Mexico,6906414240.0
2010-01-01,Mexico,7000746480.0
2011-01-01,Mexico,7052767199.999998
2012-01-01,Mexico,7184205240.000002
2013-01-01,Mexico,7393415940.000002
2014-01-01,Mexico,7360911800.0
2015-01-01,Mexico,7613687840.0
2016-01-01,Mexico,7837812150.0
2017-01-01,Mexico,8094283990.000002
2018-01-01,Mexico,8451901750.57468
2019-01-01,Mexico,8766955793.294474
2020-01-01,Mexico,9124161695.362295
2021-01-01,Mexico,9478881959.960392
2022-01-01,Mexico,9856667368.859673
2023-01-01,Mexico,10244402365.078724
2024-01-01,Mexico,10650188948.586401
2025-01-01,Mexico,11070511868.3546
2026-01-01,Mexico,11508266745.276306
2027-01-01,Mexico,11962868590.293634
2028-01-01,Mexico,12435682257.65599
2029-01-01,Mexico,12927043714.393528
2030-01-01,Mexico,13437896477.08159
2031-01-01,Mexico,13968895194.976154
