dates,Entity,Total_Meat_Consumption
1961-01-01,Philippines,344673090.0
1962-01-01,Philippines,389989530.0
1963-01-01,Philippines,409373430.00000006
1964-01-01,Philippines,422721490.0
1965-01-01,Philippines,473541200.0
1966-01-01,Philippines,523206880.00000006
1967-01-01,Philippines,534374720.00000006
1968-01-01,Philippines,586681200.0000001
1969-01-01,Philippines,596579900.0
1970-01-01,Philippines,562480840.0
1971-01-01,Philippines,577071000.0
1972-01-01,Philippines,546849660.0000001
1973-01-01,Philippines,625928920.0
1974-01-01,Philippines,736240960.0
1975-01-01,Philippines,613922820.0
1976-01-01,Philippines,595955880.0
1977-01-01,Philippines,570231030.0
1978-01-01,Philippines,618764400.0
1979-01-01,Philippines,740966400.0000001
1980-01-01,Philippines,796561560.0
1981-01-01,Philippines,845936740.0
1982-01-01,Philippines,812389759.9999999
1983-01-01,Philippines,855445759.9999999
1984-01-01,Philippines,867947609.9999998
1985-01-01,Philippines,706130760.0
1986-01-01,Philippines,789490800.0
1987-01-01,Philippines,856096800.0000001
1988-01-01,Philippines,930136900.0
1989-01-01,Philippines,1045709530.0
1990-01-01,Philippines,1132059550.0
1991-01-01,Philippines,1310980300.0
1992-01-01,Philippines,1342012800.0
1993-01-01,Philippines,1449751380.0
1994-01-01,Philippines,1536117930.0
1995-01-01,Philippines,1646204560.0000002
1996-01-01,Philippines,1809326680.0
1997-01-01,Philippines,1951388320.0
1998-01-01,Philippines,1986275200.0
1999-01-01,Philippines,2153919720.0
2000-01-01,Philippines,2243829840.0
2001-01-01,Philippines,2336809090.0
2002-01-01,Philippines,2466173150.0
2003-01-01,Philippines,2548035360.0
2004-01-01,Philippines,2564201970.0
2005-01-01,Philippines,2562155680.0
2006-01-01,Philippines,2738621240.0
2007-01-01,Philippines,2954835249.9999995
2008-01-01,Philippines,3056125240.0
2009-01-01,Philippines,3091248300.000001
2010-01-01,Philippines,3239042490.0
2011-01-01,Philippines,3295253600.0000005
2012-01-01,Philippines,3381068140.0
2013-01-01,Philippines,3470407200.0
2014-01-01,Philippines,3475739540.0
2015-01-01,Philippines,3608673420.0
2016-01-01,Philippines,3840751200.0
2017-01-01,Philippines,3894556190.0
2018-01-01,Philippines,4037554050.5706716
2019-01-01,Philippines,4252769269.780401
2020-01-01,Philippines,4415201544.864921
2021-01-01,Philippines,4628071239.936184
2022-01-01,Philippines,4822186078.453287
2023-01-01,Philippines,5043022947.461069
2024-01-01,Philippines,5262057130.483835
2025-01-01,Philippines,5498212908.569238
2026-01-01,Philippines,5740100518.545471
2027-01-01,Philippines,5995738397.865227
2028-01-01,Philippines,6260773918.556023
2029-01-01,Philippines,6538794875.785884
2030-01-01,Philippines,6828350257.328954
2031-01-01,Philippines,7131246566.242779
