dates,Entity,Total_Meat_Consumption
1961-01-01,Poland,1399946239.9999998
1962-01-01,Poland,1418862410.0000002
1963-01-01,Poland,1424306240.0
1964-01-01,Poland,1489279049.9999998
1965-01-01,Poland,1558014480.0
1966-01-01,Poland,1604831520.0000002
1967-01-01,Poland,1659542039.9999998
1968-01-01,Poland,1703950000.0
1969-01-01,Poland,1712617910.0000002
1970-01-01,Poland,1733783679.9999998
1971-01-01,Poland,1861245100.0
1972-01-01,Poland,2047821660.0
1973-01-01,Poland,2169775280.0
1974-01-01,Poland,2301427520.0
1975-01-01,Poland,2505021540.0000005
1976-01-01,Poland,2456872200.0
1977-01-01,Poland,2478049280.0
1978-01-01,Poland,2556794940.0
1979-01-01,Poland,2672715190.0000005
1980-01-01,Poland,2723430200.0
1981-01-01,Poland,2401314540.0000005
1982-01-01,Poland,2181288840.0
1983-01-01,Poland,2241613920.0000005
1984-01-01,Poland,2207047680.0
1985-01-01,Poland,2355780960.0
1986-01-01,Poland,2632759200.0
1987-01-01,Poland,2684771440.0
1988-01-01,Poland,2768090710.0000005
1989-01-01,Poland,2785643790.0000005
1990-01-01,Poland,2771080000.0
1991-01-01,Poland,2969331510.0
1992-01-01,Poland,2905721860.0000005
1993-01-01,Poland,2811293400.0
1994-01-01,Poland,2630030389.9999995
1995-01-01,Poland,2663285750.0
1996-01-01,Poland,2718420900.0
1997-01-01,Poland,2537417350.0
1998-01-01,Poland,2682897479.9999995
1999-01-01,Poland,2789623440.0000005
2000-01-01,Poland,2726365470.0000005
2001-01-01,Poland,2725612200.0
2002-01-01,Poland,2845106880.0
2003-01-01,Poland,2887378620.0000005
2004-01-01,Poland,2809344000.0
2005-01-01,Poland,2795181650.0
2006-01-01,Poland,2913753380.0
2007-01-01,Poland,2893350320.0000005
2008-01-01,Poland,2822691630.0000005
2009-01-01,Poland,2858758079.9999995
2010-01-01,Poland,2864017600.0
2011-01-01,Poland,2920915229.9999995
2012-01-01,Poland,2880404450.0000005
2013-01-01,Poland,2903060640.0
2014-01-01,Poland,3112796520.0
2015-01-01,Poland,3233270340.0
2016-01-01,Poland,3278450700.0000005
2017-01-01,Poland,3366051570.0
2018-01-01,Poland,3434381387.82152
2019-01-01,Poland,3483021186.3553896
2020-01-01,Poland,3540613997.301377
2021-01-01,Poland,3596021921.3066015
2022-01-01,Poland,3653484414.01775
2023-01-01,Poland,3711415347.096438
2024-01-01,Poland,3770435171.226712
2025-01-01,Poland,3830329042.389258
2026-01-01,Poland,3891198761.6432033
2027-01-01,Poland,3953026542.732246
2028-01-01,Poland,4015840216.709588
2029-01-01,Poland,4079650674.717218
2030-01-01,Poland,4144475563.513118
2031-01-01,Poland,4210330317.4661717
