dates,Entity,Total_Meat_Consumption
1961-01-01,South Korea,107205240.0
1962-01-01,South Korea,86870880.0
1963-01-01,South Korea,116125960.0
1964-01-01,South Korea,140485800.0
1965-01-01,South Korea,143324159.99999997
1966-01-01,South Korea,153188140.0
1967-01-01,South Korea,138183090.0
1968-01-01,South Korea,141176439.99999997
1969-01-01,South Korea,160558959.99999997
1970-01-01,South Korea,173858399.99999997
1971-01-01,South Korea,180023479.99999997
1972-01-01,South Korea,191995110.0
1973-01-01,South Korea,200825520.0
1974-01-01,South Korea,215294390.0
1975-01-01,South Korea,251544689.99999997
1976-01-01,South Korea,267767900.0
1977-01-01,South Korea,313685000.0
1978-01-01,South Korea,417269760.00000006
1979-01-01,South Korea,558163680.0
1980-01-01,South Korea,501446280.0
1981-01-01,South Korea,501439980.0
1982-01-01,South Korea,586058000.0
1983-01-01,South Korea,678100880.0000001
1984-01-01,South Korea,713239200.0
1985-01-01,South Korea,750793600.0
1986-01-01,South Korea,748547100.0
1987-01-01,South Korea,819566420.0000001
1988-01-01,South Korea,876672210.0000001
1989-01-01,South Korea,941175650.0
1990-01-01,South Korea,1084108680.0
1991-01-01,South Korea,1224853520.0
1992-01-01,South Korea,1514071440.0
1993-01-01,South Korea,1532217600.0
1994-01-01,South Korea,1638170999.9999998
1995-01-01,South Korea,1738798269.9999998
1996-01-01,South Korea,1878078550.0
1997-01-01,South Korea,1958248440.0
1998-01-01,South Korea,1838732240.0
1999-01-01,South Korea,2170304720.0
2000-01-01,South Korea,2254292820.0000005
2001-01-01,South Korea,2082843960.0
2002-01-01,South Korea,2416799999.9999995
2003-01-01,South Korea,2563141710.0
2004-01-01,South Korea,2187034300.0
2005-01-01,South Korea,2425309800.0
2006-01-01,South Korea,2671292000.0
2007-01-01,South Korea,2760670500.0
2008-01-01,South Korea,2750257439.9999995
2009-01-01,South Korea,2783170800.0
2010-01-01,South Korea,2929654980.0
2011-01-01,South Korea,3096689200.0000005
2012-01-01,South Korea,3184880820.0
2013-01-01,South Korea,3202509060.0
2014-01-01,South Korea,3224741760.0
2015-01-01,South Korea,3392943479.9999995
2016-01-01,South Korea,3515277850.0
2017-01-01,South Korea,3612487200.0
2018-01-01,South Korea,3880025353.6535935
2019-01-01,South Korea,4161682423.346879
2020-01-01,South Korea,4405974209.04363
2021-01-01,South Korea,4697025315.669606
2022-01-01,South Korea,5010280561.266287
2023-01-01,South Korea,5331362308.37033
2024-01-01,South Korea,5678901072.59896
2025-01-01,South Korea,6050568122.598809
2026-01-01,South Korea,6443703051.585178
2027-01-01,South Korea,6863379895.589014
2028-01-01,South Korea,7310866345.101473
2029-01-01,South Korea,7786923851.327471
2030-01-01,South Korea,8294133938.122675
2031-01-01,South Korea,8834513288.218306
