dates,Entity,Total_Meat_Consumption
1961-01-01,United Kingdom,3650886720.0
1962-01-01,United Kingdom,3767552460.0
1963-01-01,United Kingdom,3765400380.0
1964-01-01,United Kingdom,3759955740.0
1965-01-01,United Kingdom,3797954820.0
1966-01-01,United Kingdom,3871670550.0
1967-01-01,United Kingdom,3894459660.0
1968-01-01,United Kingdom,3959652060.000001
1969-01-01,United Kingdom,3998123280.0
1970-01-01,United Kingdom,4036822720.0
1971-01-01,United Kingdom,4143265680.000001
1972-01-01,United Kingdom,4142156120.0
1973-01-01,United Kingdom,3933861440.0
1974-01-01,United Kingdom,3963460720.0
1975-01-01,United Kingdom,3837427680.0
1976-01-01,United Kingdom,3767405400.0
1977-01-01,United Kingdom,3789273680.0
1978-01-01,United Kingdom,3937230300.0
1979-01-01,United Kingdom,4061373300.000001
1980-01-01,United Kingdom,3970603760.0
1981-01-01,United Kingdom,3894990880.0
1982-01-01,United Kingdom,3878379360.0
1983-01-01,United Kingdom,3871294830.000001
1984-01-01,United Kingdom,3917396820.0
1985-01-01,United Kingdom,3979443560.0
1986-01-01,United Kingdom,4050438180.000001
1987-01-01,United Kingdom,4170595380.0
1988-01-01,United Kingdom,4170642330.0
1989-01-01,United Kingdom,4073071260.0
1990-01-01,United Kingdom,4111933980.0
1991-01-01,United Kingdom,4154743320.0
1992-01-01,United Kingdom,4344640980.0
1993-01-01,United Kingdom,4161168480.0
1994-01-01,United Kingdom,4256555470.0
1995-01-01,United Kingdom,4258002000.000001
1996-01-01,United Kingdom,4251039100.0
1997-01-01,United Kingdom,4273320030.000001
1998-01-01,United Kingdom,4464898100.0
1999-01-01,United Kingdom,4461241680.0
2000-01-01,United Kingdom,4541195610.0
2001-01-01,United Kingdom,4638869040.0
2002-01-01,United Kingdom,4700398980.0
2003-01-01,United Kingdom,4938798120.0
2004-01-01,United Kingdom,5085612620.0
2005-01-01,United Kingdom,5035253760.0
2006-01-01,United Kingdom,5212967910.0
2007-01-01,United Kingdom,5231664150.000001
2008-01-01,United Kingdom,5064817500.0
2009-01-01,United Kingdom,5075326620.0
2010-01-01,United Kingdom,5143433000.0
2011-01-01,United Kingdom,5279254120.0
2012-01-01,United Kingdom,5349122500.000001
2013-01-01,United Kingdom,5295546160.000001
2014-01-01,United Kingdom,4863545820.0
2015-01-01,United Kingdom,5175937399.999999
2016-01-01,United Kingdom,5356215420.0
2017-01-01,United Kingdom,5331487300.0
2018-01-01,United Kingdom,5335807103.256526
2019-01-01,United Kingdom,5370047885.65006
2020-01-01,United Kingdom,5410264193.990889
2021-01-01,United Kingdom,5447843320.706998
2022-01-01,United Kingdom,5483698753.438159
2023-01-01,United Kingdom,5519577944.24741
2024-01-01,United Kingdom,5555945099.985048
2025-01-01,United Kingdom,5592675943.821782
2026-01-01,United Kingdom,5629651398.8393
2027-01-01,United Kingdom,5666851440.253933
2028-01-01,United Kingdom,5704290014.792183
2029-01-01,United Kingdom,5741976654.910634
2030-01-01,United Kingdom,5779913737.428022
2031-01-01,United Kingdom,5818101861.865707
