dates,Entity,Total_Meat_Consumption
1961-01-01,United States,16807276200.0
1962-01-01,United States,17202487299.999996
1963-01-01,United States,18052652520.0
1964-01-01,United States,18931427200.0
1965-01-01,United States,18727059840.0
1966-01-01,United States,19581893040.0
1967-01-01,United States,20567896543.04
1968-01-01,United States,21132160080.0
1969-01-01,United States,21397184184.32
1970-01-01,United States,22174855073.280003
1971-01-01,United States,22943619360.000004
1972-01-01,United States,23022496500.0
1973-01-01,United States,21730928017.92
1974-01-01,United States,23053271549.44
1975-01-01,United States,22390077382.4
1976-01-01,United States,24107217440.0
1977-01-01,United States,24261577280.0
1978-01-01,United States,24076339555.2
1979-01-01,United States,24232064862.72
1980-01-01,United States,24854545560.0
1981-01-01,United States,25127873280.0
1982-01-01,United States,24698617860.0
1983-01-01,United States,25604534400.0
1984-01-01,United States,25910447880.000004
1985-01-01,United States,26536770000.0
1986-01-01,United States,26844733424.640003
1987-01-01,United States,27274398009.6
1988-01-01,United States,28178144520.000008
1989-01-01,United States,28156606500.0
1990-01-01,United States,28408881600.0
1991-01-01,United States,29088717834.24
1992-01-01,United States,30173314249.280006
1993-01-01,United States,30230287360.0
1994-01-01,United States,31206678048.000008
1995-01-01,United States,31323823320.0
1996-01-01,United States,31623280692.799995
1997-01-01,United States,31757930449.92
1998-01-01,United States,33131070963.2
1999-01-01,United States,34489813360.0
2000-01-01,United States,34278595453.44
2001-01-01,United States,34374954240.0
2002-01-01,United States,35734635805.12
2003-01-01,United States,35696636720.000015
2004-01-01,United States,36769489356.16
2005-01-01,United States,36962746195.200005
2006-01-01,United States,37380665864.32
2007-01-01,United States,37717285760.0
2008-01-01,United States,37210420421.76
2009-01-01,United States,36361822680.0
2010-01-01,United States,36716687970.56
2011-01-01,United States,36234103360.0
2012-01-01,United States,36086796040.0
2013-01-01,United States,36427246208.960014
2014-01-01,United States,37466383669.44
2015-01-01,United States,38781317013.76
2016-01-01,United States,39685745760.0
2017-01-01,United States,40343047507.2
2018-01-01,United States,41025787679.452034
2019-01-01,United States,41715178367.1518
2020-01-01,United States,42414551183.660484
2021-01-01,United States,43123551874.871315
2022-01-01,United States,43842443555.08292
2023-01-01,United States,44571389131.251076
2024-01-01,United States,45310570997.055084
2025-01-01,United States,46060171114.21939
2026-01-01,United States,46820374374.65153
2027-01-01,United States,47591368082.34551
2028-01-01,United States,48373342083.66176
2029-01-01,United States,49166488790.90791
2030-01-01,United States,49971003225.075096
2031-01-01,United States,50787083056.71482
