dates,Entity,Total_Meat_Consumption
1961-01-01,Vietnam,372009300.0
1962-01-01,Vietnam,384981300.0
1963-01-01,Vietnam,401504040.0
1964-01-01,Vietnam,401269800.0
1965-01-01,Vietnam,420234900.0
1966-01-01,Vietnam,434381700.0
1967-01-01,Vietnam,447214680.0
1968-01-01,Vietnam,445719080.0
1969-01-01,Vietnam,434915960.0
1970-01-01,Vietnam,431011650.0
1971-01-01,Vietnam,437277720.0
1972-01-01,Vietnam,458212880.0
1973-01-01,Vietnam,458583359.9999999
1974-01-01,Vietnam,445125719.9999999
1975-01-01,Vietnam,408744020.0
1976-01-01,Vietnam,414709050.0
1977-01-01,Vietnam,424180740.0
1978-01-01,Vietnam,442171089.9999999
1979-01-01,Vietnam,466705050.0
1980-01-01,Vietnam,490166460.0
1981-01-01,Vietnam,616305300.0
1982-01-01,Vietnam,686313120.0
1983-01-01,Vietnam,780927640.0
1984-01-01,Vietnam,815328100.0
1985-01-01,Vietnam,840987570.0
1986-01-01,Vietnam,888935380.0000002
1987-01-01,Vietnam,972092520.0
1988-01-01,Vietnam,973544000.0
1989-01-01,Vietnam,1030194000.0
1990-01-01,Vietnam,1045670820.0
1991-01-01,Vietnam,1021418270.0
1992-01-01,Vietnam,1154684070.0
1993-01-01,Vietnam,1197288000.0
1994-01-01,Vietnam,1289629010.0
1995-01-01,Vietnam,1355870999.9999998
1996-01-01,Vietnam,1420968919.9999998
1997-01-01,Vietnam,1540346010.0
1998-01-01,Vietnam,1625593960.0
1999-01-01,Vietnam,1754599200.0
2000-01-01,Vietnam,1886675100.0
2001-01-01,Vietnam,2042797900.0
2002-01-01,Vietnam,2266645200.0
2003-01-01,Vietnam,2441077320.0000005
2004-01-01,Vietnam,2634758359.9999995
2005-01-01,Vietnam,2929125020.0
2006-01-01,Vietnam,3224791980.0
2007-01-01,Vietnam,3607286600.0
2008-01-01,Vietnam,3974939870.0
2009-01-01,Vietnam,4385953119.999999
2010-01-01,Vietnam,4532111360.0
2011-01-01,Vietnam,5118080890.0
2012-01-01,Vietnam,4939110000.000001
2013-01-01,Vietnam,5012288190.0
2014-01-01,Vietnam,5637659580.0
2015-01-01,Vietnam,5963764949.999999
2016-01-01,Vietnam,5937712399.999999
2017-01-01,Vietnam,5991081330.0
2018-01-01,Vietnam,6166110946.994752
2019-01-01,Vietnam,6370273271.028718
2020-01-01,Vietnam,6610573733.906107
2021-01-01,Vietnam,6880148511.533373
2022-01-01,Vietnam,7176296837.835912
2023-01-01,Vietnam,7496914202.596336
2024-01-01,Vietnam,7840734956.030765
2025-01-01,Vietnam,8207046070.325599
2026-01-01,Vietnam,8595564386.542576
2027-01-01,Vietnam,9006335742.845057
2028-01-01,Vietnam,9439664559.979023
2029-01-01,Vietnam,9896062323.052177
2030-01-01,Vietnam,10376210128.905073
2031-01-01,Vietnam,10880931432.338623
