dates,Total_Meat_Consumption
1961-01-01,722446040.0
1962-01-01,917360990.0
1963-01-01,937864970.0
1964-01-01,1063378680.0
1965-01-01,1132140500.0
1966-01-01,1310683359.9999998
1967-01-01,1386302500.0
1968-01-01,1434842200.0
1969-01-01,1632131920.0000002
1970-01-01,1841503950.0
1971-01-01,2084904929.9999995
1972-01-01,2323643520.0
1973-01-01,2541072800.0
1974-01-01,2549088079.9999995
1975-01-01,2625967680.0000005
1976-01-01,2769220440.0
1977-01-01,2997010800.0
1978-01-01,3268946589.9999995
1979-01-01,3555094140.0
1980-01-01,3555717060.0
1981-01-01,3633229800.0
1982-01-01,3691010300.0
1983-01-01,3798299120.0
1984-01-01,3928947380.0
1985-01-01,4112332420.0
1986-01-01,4270663739.999999
1987-01-01,4493395230.0
1988-01-01,4688814900.000001
1989-01-01,4811008020.0
1990-01-01,4772276650.000001
1991-01-01,4806057100.0
1992-01-01,4990680420.0
1993-01-01,5044621910.0
1994-01-01,5121533390.0
1995-01-01,5567641900.0
1996-01-01,5612862080.0
1997-01-01,5365036039.999999
1998-01-01,5384676120.0
1999-01-01,5622716160.0
2000-01-01,5771736240.0
2001-01-01,5717755780.0
2002-01-01,5712980310.0
2003-01-01,5762609999.999999
2004-01-01,5679437200.0
2005-01-01,5994107460.0
2006-01-01,5883057630.0
2007-01-01,5932567980.0
2008-01-01,5974492720.0
2009-01-01,5885247900.0
2010-01-01,6125026300.000001
2011-01-01,6268181220.0
2012-01-01,6392946720.0
2013-01-01,6345127299.999999
2014-01-01,6020097930.0
2015-01-01,5905227900.0
2016-01-01,6034246490.000001
2017-01-01,6289722990.0
2018-01-01,6537892361.18164
2019-01-01,6820823606.501225
2020-01-01,7107083513.106639
2021-01-01,7418255236.043785
2022-01-01,7738669785.371207
2023-01-01,8079597444.296789
2024-01-01,8433396916.198828
2025-01-01,8806146323.761292
2026-01-01,9194321783.931026
2027-01-01,9601401042.043976
2028-01-01,10025993504.674614
2029-01-01,10470293019.590473
2030-01-01,10934034716.380733
2031-01-01,11418799685.601456
