dates,Total_Meat_Consumption
1961-01-01,946094480.0
1962-01-01,1020551050.0
1963-01-01,1039037720.0
1964-01-01,1082106299.9999998
1965-01-01,1109277360.0
1966-01-01,1119336800.0
1967-01-01,1156995840.0
1968-01-01,1160915040.0
1969-01-01,1185194850.0
1970-01-01,1202899840.0
1971-01-01,1231893959.9999998
1972-01-01,1316935200.0
1973-01-01,1396271960.0
1974-01-01,1526271110.0
1975-01-01,1719690799.9999998
1976-01-01,1922998800.0
1977-01-01,2088541400.0
1978-01-01,2166387050.0
1979-01-01,2220443920.0
1980-01-01,2444139270.0
1981-01-01,2657632320.0000005
1982-01-01,2769169230.0
1983-01-01,2981796090.0
1984-01-01,2964454110.0
1985-01-01,2912428389.9999995
1986-01-01,3010065210.0
1987-01-01,2991383999.9999995
1988-01-01,3043321630.0
1989-01-01,2796427550.0
1990-01-01,2913661530.0
1991-01-01,3297381280.0
1992-01-01,3468197250.0
1993-01-01,3632738750.0
1994-01-01,3948832800.0
1995-01-01,3965341380.0
1996-01-01,3874915200.0
1997-01-01,4241411130.000001
1998-01-01,4667361040.0
1999-01-01,4911294299.999999
2000-01-01,5245656000.0
2001-01-01,5495327420.000001
2002-01-01,5745202500.0
2003-01-01,5771505190.0
2004-01-01,5959445300.0
2005-01-01,6221433450.000001
2006-01-01,6412727200.000001
2007-01-01,6542618029.999999
2008-01-01,6750849800.0
2009-01-01,6906414240.0
2010-01-01,7000746480.0
2011-01-01,7052767199.999998
2012-01-01,7184205240.000002
2013-01-01,7393415940.000002
2014-01-01,7360911800.0
2015-01-01,7613687840.0
2016-01-01,7837812150.0
2017-01-01,8094283990.000002
2018-01-01,8451901713.32031
2019-01-01,8766955717.835173
2020-01-01,9124161626.264013
2021-01-01,9478881851.950464
2022-01-01,9856667256.232702
2023-01-01,10244402220.76248
2024-01-01,10650188788.560825
2025-01-01,11070511679.607029
2026-01-01,11508266533.440409
2027-01-01,11962868349.05172
2028-01-01,12435681987.964712
2029-01-01,12927043412.58535
2030-01-01,13437896142.122011
2031-01-01,13968894824.068972
