dates,Total_Meat_Consumption
1961-01-01,344673090.0
1962-01-01,389989530.0
1963-01-01,409373430.00000006
1964-01-01,422721490.0
1965-01-01,473541200.0
1966-01-01,523206880.00000006
1967-01-01,534374720.00000006
1968-01-01,586681200.0000001
1969-01-01,596579900.0
1970-01-01,562480840.0
1971-01-01,577071000.0
1972-01-01,546849660.0000001
1973-01-01,625928920.0
1974-01-01,736240960.0
1975-01-01,613922820.0
1976-01-01,595955880.0
1977-01-01,570231030.0
1978-01-01,618764400.0
1979-01-01,740966400.0000001
1980-01-01,796561560.0
1981-01-01,845936740.0
1982-01-01,812389759.9999999
1983-01-01,855445759.9999999
1984-01-01,867947609.9999998
1985-01-01,706130760.0
1986-01-01,789490800.0
1987-01-01,856096800.0000001
1988-01-01,930136900.0
1989-01-01,1045709530.0
1990-01-01,1132059550.0
1991-01-01,1310980300.0
1992-01-01,1342012800.0
1993-01-01,1449751380.0
1994-01-01,1536117930.0
1995-01-01,1646204560.0000002
1996-01-01,1809326680.0
1997-01-01,1951388320.0
1998-01-01,1986275200.0
1999-01-01,2153919720.0
2000-01-01,2243829840.0
2001-01-01,2336809090.0
2002-01-01,2466173150.0
2003-01-01,2548035360.0
2004-01-01,2564201970.0
2005-01-01,2562155680.0
2006-01-01,2738621240.0
2007-01-01,2954835249.9999995
2008-01-01,3056125240.0
2009-01-01,3091248300.000001
2010-01-01,3239042490.0
2011-01-01,3295253600.0000005
2012-01-01,3381068140.0
2013-01-01,3470407200.0
2014-01-01,3475739540.0
2015-01-01,3608673420.0
2016-01-01,3840751200.0
2017-01-01,3894556190.0
2018-01-01,4037554065.0476584
2019-01-01,4252769237.0869036
2020-01-01,4415201523.988572
2021-01-01,4628071187.809933
2022-01-01,4822186019.622338
2023-01-01,5043022865.405244
2024-01-01,5262057032.415909
2025-01-01,5498212788.107257
2026-01-01,5740100376.696897
2027-01-01,5995738231.485099
2028-01-01,6260773726.502803
2029-01-01,6538794655.752489
2030-01-01,6828350007.361272
2031-01-01,7131246284.074732
