dates,Total_Meat_Consumption
1961-01-01,1399946239.9999998
1962-01-01,1418862410.0000002
1963-01-01,1424306240.0
1964-01-01,1489279049.9999998
1965-01-01,1558014480.0
1966-01-01,1604831520.0000002
1967-01-01,1659542039.9999998
1968-01-01,1703950000.0
1969-01-01,1712617910.0000002
1970-01-01,1733783679.9999998
1971-01-01,1861245100.0
1972-01-01,2047821660.0
1973-01-01,2169775280.0
1974-01-01,2301427520.0
1975-01-01,2505021540.0000005
1976-01-01,2456872200.0
1977-01-01,2478049280.0
1978-01-01,2556794940.0
1979-01-01,2672715190.0000005
1980-01-01,2723430200.0
1981-01-01,2401314540.0000005
1982-01-01,2181288840.0
1983-01-01,2241613920.0000005
1984-01-01,2207047680.0
1985-01-01,2355780960.0
1986-01-01,2632759200.0
1987-01-01,2684771440.0
1988-01-01,2768090710.0000005
1989-01-01,2785643790.0000005
1990-01-01,2771080000.0
1991-01-01,2969331510.0
1992-01-01,2905721860.0000005
1993-01-01,2811293400.0
1994-01-01,2630030389.9999995
1995-01-01,2663285750.0
1996-01-01,2718420900.0
1997-01-01,2537417350.0
1998-01-01,2682897479.9999995
1999-01-01,2789623440.0000005
2000-01-01,2726365470.0000005
2001-01-01,2725612200.0
2002-01-01,2845106880.0
2003-01-01,2887378620.0000005
2004-01-01,2809344000.0
2005-01-01,2795181650.0
2006-01-01,2913753380.0
2007-01-01,2893350320.0000005
2008-01-01,2822691630.0000005
2009-01-01,2858758079.9999995
2010-01-01,2864017600.0
2011-01-01,2920915229.9999995
2012-01-01,2880404450.0000005
2013-01-01,2903060640.0
2014-01-01,3112796520.0
2015-01-01,3233270340.0
2016-01-01,3278450700.0000005
2017-01-01,3366051570.0
2018-01-01,3434381380.1136804
2019-01-01,3483021171.6625767
2020-01-01,3540613978.197934
2021-01-01,3596021894.014802
2022-01-01,3653484380.668648
2023-01-01,3711415306.218809
2024-01-01,3770435123.221256
2025-01-01,3830328986.745823
2026-01-01,3891198698.26324
2027-01-01,3953026471.326095
2028-01-01,4015840137.063062
2029-01-01,4079650586.575915
2030-01-01,4144475466.6315937
2031-01-01,4210330211.5871005
