dates,Total_Meat_Consumption
1992-01-01,9075545000.32
1993-01-01,8725874940.0
1994-01-01,8154744090.24
1995-01-01,7873818664.96
1996-01-01,7390688130.56
1997-01-01,7218087800.0
1998-01-01,6939229113.28
1999-01-01,6008864400.0
2000-01-01,5835702981.12
2001-01-01,6646977344.639999
2002-01-01,7266608640.0
2003-01-01,7483619663.999998
2004-01-01,7204049600.000002
2005-01-01,7488184640.0
2006-01-01,7993283665.920002
2007-01-01,8614584580.0
2008-01-01,9291129621.12
2009-01-01,9137096760.0
2010-01-01,9379222752.96
2011-01-01,9517450219.84
2012-01-01,10477003440.0
2013-01-01,10798395901.44
2014-01-01,10621303712.64
2015-01-01,10598402915.2
2016-01-01,10703862589.44
2017-01-01,11147598000.0
2018-01-01,11455566226.959396
2019-01-01,11573170300.939476
2020-01-01,11637970022.677757
2021-01-01,11722452691.258755
2022-01-01,11828033385.383099
2023-01-01,11939438504.551065
2024-01-01,12049536187.539284
2025-01-01,12158521284.782557
2026-01-01,12268063766.191437
2027-01-01,12378872039.428507
2028-01-01,12490900126.727003
2029-01-01,12603978119.075537
2030-01-01,12718047505.192608
2031-01-01,12833126889.974144
